title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Too Good At Goodbyes,Sam Smith,dance pop,2017,2021-01-28,92,37,68,-8,17,48,201,64,4,77,2017,Solo
No Lie,Sean Paul,dance pop,2018,2021-01-28,102,88,74,-3,21,46,221,5,12,89,2017,Solo
Fetish (feat. Gucci Mane),Selena Gomez,dance pop,2017,2021-08-17,123,62,71,-4,6,27,186,2,6,74,2017,Solo
Broccoli,Shelley FKA DRAM,alternative r&b,2016,2021-01-28,146,53,89,-7,6,71,225,24,13,64,2017,Solo
Don't Leave,Snakehips,edm,2017,2021-01-28,122,70,66,-3,26,34,215,22,8,68,2017,Duo
Love Galore (feat. Travis Scott),SZA,pop,2017,2021-01-28,135,59,80,-6,16,41,275,11,7,81,2017,Solo
Look What You Made Me Do,Taylor Swift,pop,2017,2021-01-28,128,71,77,-6,13,51,212,20,12,81,2017,Solo
...Ready For It?,Taylor Swift,pop,2017,2021-01-28,160,76,61,-7,20,42,208,5,14,78,2017,Solo
Something Just Like This,The Chainsmokers,dance pop,2017,2021-01-28,103,64,62,-7,16,45,247,5,3,87,2017,Duo
Paris,The Chainsmokers,dance pop,2017,2021-01-28,100,66,65,-6,9,22,222,2,3,77,2017,Duo
All Night,The Vamps,boy band,2017,2021-01-28,145,80,54,-5,33,51,198,0,4,78,2017,Duo
Middle Of The Night,The Vamps,boy band,2017,2021-01-28,130,75,59,-4,8,40,175,0,6,65,2017,Duo
I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,2021-01-28,93,82,77,-6,7,59,269,43,12,82,2017,Solo
goosebumps,Travis Scott,hip hop,2016,2021-01-28,130,73,84,-3,15,43,244,8,5,88,2017,Solo
BUTTERFLY EFFECT,Travis Scott,hip hop,2018,2021-01-28,141,63,76,-6,11,19,191,5,5,81,2017,Solo
Jocelyn Flores,XXXTENTACION,emo rap,2017,2021-01-28,134,39,87,-9,30,44,119,47,24,89,2017,Solo
Rake It Up (feat. Nicki Minaj),Yo Gotti,dirty south rap,2017,2021-01-28,150,44,91,-8,14,53,276,2,34,73,2017,Solo
I Would Like,Zara Larsson,dance pop,2017,2021-01-28,121,71,49,-4,8,30,227,9,5,62,2017,Solo
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016,2021-01-28,161,89,81,-4,39,78,144,0,28,62,2017,Solo
Stay,Zedd,complextro,2017,2021-01-28,102,62,69,-5,12,54,210,25,6,80,2017,Solo
