title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
a lot,21 Savage,atl hip hop,2018,2020-06-22,146,64,84,-8,34,27,289,4,9,83,2019,Solo
Easier,5 Seconds of Summer,boy band,2020,2020-06-22,176,46,56,-4,11,62,158,48,26,74,2019,Band/Group
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,melodic rap,2018,2020-06-22,93,66,58,-5,11,43,189,2,30,80,2019,Solo
Look Back at It,A Boogie Wit da Hoodie,melodic rap,2018,2020-06-22,96,59,79,-5,15,54,179,41,4,78,2019,Solo
Ladbroke Grove,AJ Tracey,grime,2019,2020-08-20,134,84,90,-9,10,73,191,9,21,73,2019,Solo
China,Anuel AA,latin,2019,2020-06-22,105,81,79,-4,8,61,302,8,9,80,2019,Solo
Secreto,Anuel AA,latin,2019,2020-06-22,92,80,81,-4,14,71,259,60,13,79,2019,Solo
7 rings,Ariana Grande,dance pop,2019,2020-06-22,140,32,78,-11,9,33,179,59,33,88,2019,Solo
"thank u, next",Ariana Grande,dance pop,2019,2020-06-22,107,65,72,-6,10,41,207,23,7,85,2019,Solo
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020-06-22,170,55,73,-5,11,34,190,4,9,81,2019,Solo
boyfriend (with Social House),Ariana Grande,dance pop,2019,2020-06-22,190,80,40,-4,16,70,186,12,46,81,2019,Solo
On A Roll,Ashley O,pop,2019,2020-06-22,125,81,74,-6,5,39,154,8,9,62,2019,Solo
Callaita,Bad Bunny,latin,2019,2020-06-22,176,62,61,-5,24,24,251,60,31,86,2019,Solo
MIA (feat. Drake),Bad Bunny,latin,2018,2020-06-22,97,54,82,-6,10,16,210,1,6,82,2019,Solo
lovely (with Khalid),Billie Eilish,art pop,2018,2020-06-22,115,30,35,-10,10,12,200,93,3,91,2019,Solo
bad guy,Billie Eilish,art pop,2019,2020-06-22,135,43,70,-11,10,56,194,33,38,88,2019,Solo
when the party's over,Billie Eilish,art pop,2019,2020-06-22,83,11,37,-14,9,20,196,98,10,85,2019,Solo
bury a friend,Billie Eilish,art pop,2019,2020-06-22,120,39,91,-15,11,20,193,74,33,80,2019,Solo
Kill This Love,BLACKPINK,k-pop,2019,2020-06-22,132,84,76,-5,23,65,191,32,19,79,2019,Band/Group
The Git Up,Blanco Brown,black americana,2019,2020-06-22,98,68,85,-9,27,81,201,7,11,74,2019,Solo
