title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Thinking out Loud,Ed Sheeran,pop,2014,2020-06-19,79,45,78,-6,18,59,282,47,3,86,2015,Solo
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,2020-06-19,190,61,26,-7,13,28,253,25,5,83,2015,Solo
On My Mind,Ellie Goulding,dance pop,2015,2020-06-22,155,71,70,-7,9,74,213,26,5,69,2015,Solo
Centuries,Fall Out Boy,emo,2015,2020-06-19,176,86,39,-3,10,56,228,0,7,84,2015,Band/Group
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,2015,2020-06-19,190,72,62,-6,63,60,197,0,32,79,2015,Solo
Trap Queen,Fetty Wap,new jersey rap,2015,2020-06-19,148,87,75,-4,35,82,222,2,13,78,2015,Solo
My Way (feat. Monty),Fetty Wap,new jersey rap,2015,2020-06-19,128,74,75,-3,15,54,213,0,5,71,2015,Solo
My House,Flo Rida,dance pop,2015,2020-06-19,94,70,69,-5,13,74,192,2,5,81,2015,Solo
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,2015,2020-06-19,146,83,66,-4,7,69,190,0,7,75,2015,Solo
Mountain at My Gates,Foals,indie rock,2015,2021-08-09,104,93,50,-5,25,62,244,0,5,69,2015,Band/Group
Runaway (U & I),Galantis,dance pop,2015,2020-06-19,126,81,51,-4,9,38,227,1,5,79,2015,Duo
Barcelona,George Ezra,folk-pop,2014,2021-08-09,94,57,63,-9,11,18,189,32,3,70,2015,Solo
Love Myself,Hailee Steinfeld,dance pop,2016,2020-06-19,123,76,62,-7,42,32,219,0,7,75,2015,Solo
Take Me to Church,Hozier,irish singer-songwriter,2014,2020-06-19,129,66,57,-5,12,44,242,63,5,80,2015,Solo
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,2015,2020-06-19,139,78,43,-4,8,20,250,4,6,78,2015,Duo
oui,Jeremih,chicago rap,2015,2020-06-19,79,72,42,-4,11,60,238,21,10,82,2015,Solo
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,2015,2020-08-11,94,59,79,-6,29,59,226,19,3,63,2015,Solo
What Do You Mean?,Justin Bieber,canadian pop,2015,2020-06-19,125,57,85,-8,8,79,206,59,10,81,2015,Solo
Way down We Go,KALEO,icelandic indie,2016,2021-08-09,163,51,49,-8,10,34,214,58,12,81,2015,Band/Group
King Kunta,Kendrick Lamar,conscious hip hop,2015,2020-06-19,107,66,88,-5,15,49,235,1,10,79,2015,Solo
