title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Jealous - Remix,Nick Jonas,dance pop,2015,2020-06-10,93,71,68,-4,44,45,222,1,8,71,2014,Solo
Anaconda,Nicki Minaj,dance pop,2014,2020-06-10,130,61,96,-6,21,65,260,7,18,70,2014,Solo
Am I Wrong,Nico & Vinz,pop rap,2014,2020-06-10,120,68,73,-6,55,78,246,18,3,82,2014,Duo
CoCo,O.T. Genasis,pop rap,2014,2020-06-10,120,63,89,-6,31,18,240,0,13,66,2014,Solo
Gecko (Overdrive) - Radio Edit,Oliver Heldens,dance pop,2014,2020-06-10,125,89,61,-5,34,76,165,1,6,73,2014,Solo
Wrapped Up,Olly Murs,dance pop,2014,2020-06-10,122,84,79,-5,16,92,186,9,6,68,2014,Solo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,2014,2020-06-10,97,68,73,-6,21,70,227,7,4,60,2014,Solo
Night Changes,One Direction,boy band,2014,2020-06-10,120,52,67,-8,12,37,227,86,4,88,2014,Band/Group
Steal My Girl,One Direction,boy band,2014,2020-06-10,77,77,54,-6,11,55,228,0,3,84,2014,Band/Group
Counting Stars,OneRepublic,dance pop,2014,2020-06-10,122,71,66,-5,12,48,258,7,4,80,2014,Band/Group
Love Runs Out,OneRepublic,dance pop,2014,2020-06-19,120,94,72,-4,10,74,224,17,6,65,2014,Band/Group
Only Love Can Hurt Like This,Paloma Faith,british soul,2014,2020-08-20,91,89,57,-5,33,30,233,10,8,85,2014,Solo
Ain't It Fun,Paramore,candy pop,2013,2020-06-10,104,89,61,-4,2,67,297,15,9,78,2014,Band/Group
High (feat. Nicole Millar),Peking Duk,aussietronica,2014,2020-06-29,100,80,53,-4,29,38,228,0,5,54,2014,Band/Group
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop rap,2014,2020-06-10,160,82,65,-5,9,96,233,22,18,85,2014,Solo
Timber (feat. Ke$ha),Pitbull,dance pop,2012,2020-06-10,130,96,58,-4,14,79,204,3,10,86,2014,Solo
Me And My Broken Heart,Rixton,pop,2014,2020-06-10,174,78,55,-4,13,55,194,0,3,83,2014,Duo
My Love (feat. Jess Glynne),Route 94,deep groove house,2014,2020-06-10,120,62,81,-8,7,73,260,0,5,78,2014,Solo
Stay With Me,Sam Smith,dance pop,2014,2020-06-10,84,42,42,-6,11,18,173,59,4,86,2014,Solo
Money On My Mind,Sam Smith,dance pop,2014,2020-06-10,134,84,69,-5,23,74,193,20,18,67,2014,Solo
