title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
We Own It (Fast & Furious),2 Chainz,atl hip hop,2013,2020-06-11,172,90,56,-5,5,56,228,5,40,75,2013,Solo
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,east coast hip hop,2013,2020-06-11,96,69,85,-7,11,66,234,2,28,81,2013,Solo
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,2020-06-11,92,63,69,-6,10,80,161,5,4,90,2013,Band/Group
Do I Wanna Know?,Arctic Monkeys,garage rock,2013,2020-06-11,85,53,55,-8,22,41,272,19,3,89,2013,Band/Group
The Way,Ariana Grande,dance pop,2013,2020-06-11,82,88,65,-3,8,86,227,29,11,71,2013,Solo
Wake Me Up,Avicii,dance pop,2013,2020-06-11,124,78,53,-6,16,64,247,0,5,89,2013,Solo
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,2012,2020-06-11,128,79,51,-4,32,64,208,33,4,73,2013,Solo
Here's to Never Growing Up,Avril Lavigne,canadian pop,2013,2020-06-11,165,87,48,-3,41,74,214,1,9,75,2013,Solo
Sail,AWOLNATION,la indie,2011,2020-06-11,119,44,83,-10,10,27,259,44,6,80,2013,Band/Group
Harlem Shake,Baauer,bass trap,2013,2020-06-11,138,79,45,-5,42,28,197,1,5,63,2013,Solo
Pompeii,Bastille,metropopolis,2013,2020-06-11,127,72,68,-6,27,57,214,8,4,80,2013,Band/Group
Of The Night,Bastille,metropopolis,2013,2020-06-11,125,83,67,-7,9,35,214,2,4,66,2013,Band/Group
Get Up (Rattle),Bingo Players,big room,2013,2020-06-11,128,98,80,-3,26,80,167,2,7,61,2013,Duo
Sure Be Cool If You Did,Blake Shelton,contemporary country,2013,2020-06-11,137,73,58,-5,11,58,216,26,4,61,2013,Solo
Ready or Not,Bridgit Mendler,dance pop,2012,2020-06-11,93,87,72,-4,11,75,201,0,5,77,2013,Solo
Work Bitch,Britney Spears,dance pop,2013,2020-06-11,128,82,63,-7,7,85,248,16,16,76,2013,Solo
Locked out of Heaven,Bruno Mars,dance pop,2012,2020-06-11,144,70,73,-4,31,87,233,5,4,91,2013,Solo
When I Was Your Man,Bruno Mars,dance pop,2012,2020-06-11,73,28,61,-9,9,39,214,93,4,89,2013,Solo
Treasure,Bruno Mars,dance pop,2012,2020-06-11,116,69,87,-5,32,94,179,4,4,83,2013,Solo
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2012,2020-06-11,128,93,57,-4,6,58,213,20,11,76,2013,Solo
