title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
When We Were Young,Adele,british soul,2015,2020-06-08,144,60,38,-6,10,27,291,30,5,79,2016,Solo
Send My Love (To Your New Lover),Adele,british soul,2015,2020-06-08,164,53,69,-8,17,57,223,4,9,77,2016,Solo
Hello,Adele,british soul,2015,2020-06-08,79,43,58,-6,9,29,296,33,3,77,2016,Solo
Here,Alessia Cara,canadian contemporary r&b,2015,2020-06-08,120,82,38,-4,8,33,199,8,10,71,2016,Solo
Alarm,Anne-Marie,dance pop,2016,2020-06-08,147,59,76,-5,18,81,206,8,23,62,2016,Solo
Into You,Ariana Grande,dance pop,2016,2020-06-08,108,73,62,-6,14,37,244,2,11,73,2016,Solo
Side To Side,Ariana Grande,dance pop,2016,2020-06-08,159,74,65,-6,24,61,226,5,23,72,2016,Solo
Dangerous Woman,Ariana Grande,dance pop,2016,2020-06-08,134,60,66,-5,36,29,236,5,4,72,2016,Solo
Hurts So Good,Astrid S,alt z,2021,2020-06-08,120,63,67,-5,9,42,209,8,5,77,2016,Solo
Good Grief,Bastille,metropopolis,2016,2021-08-09,120,76,73,-5,31,88,206,15,7,70,2016,Band/Group
Sorry,Beyoncé,dance pop,2016,2020-08-11,130,60,78,-7,25,36,233,0,5,72,2016,Solo
Don't,Bryson Tiller,kentucky hip hop,2015,2020-08-11,97,36,77,-6,10,19,198,22,20,83,2016,Solo
Exchange,Bryson Tiller,kentucky hip hop,2015,2020-06-08,160,43,53,-11,14,28,195,11,19,81,2016,Solo
Dancing On My Own,Calum Scott,neo mellow,2018,2020-06-08,113,17,68,-9,10,23,260,84,3,84,2016,Solo
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,2016,2020-06-08,124,93,63,-3,15,47,222,20,3,84,2016,Solo
My Way,Calvin Harris,dance pop,2016,2020-06-08,120,91,82,-3,16,54,219,9,4,78,2016,Solo
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,2020-06-08,100,56,73,-8,18,35,218,62,13,73,2016,Solo
One Call Away,Charlie Puth,dance pop,2016,2020-06-08,91,61,67,-5,12,47,194,40,3,70,2016,Solo
Dangerously,Charlie Puth,dance pop,2016,2021-08-17,112,52,70,-8,20,23,199,36,4,58,2016,Solo
Sex,Cheat Codes,dance pop,2016,2020-06-08,102,69,51,-6,14,21,228,0,17,66,2016,Trio
