title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Paradise,George Ezra,folk-pop,2018,2020-06-22,138,88,64,-4,21,91,222,21,4,73,2018,Solo
we fell in love in october,girl in red,bedroom pop,2018,2021-03-02,130,37,57,-13,16,24,184,11,3,88,2018,Solo
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2017,2020-06-22,103,71,66,-4,8,74,175,3,5,81,2018,Solo
Bad At Love,Halsey,dance pop,2017,2020-06-22,118,75,68,-4,9,61,181,6,3,77,2018,Solo
The Greatest Show,Hugh Jackman,hollywood,2017,2020-06-22,158,82,42,-7,7,40,302,0,11,77,2018,Band/Group
Natural,Imagine Dragons,modern rock,2018,2020-06-22,100,61,70,-6,8,22,189,22,4,85,2018,Band/Group
Make Me Feel,Janelle Monáe,afrofuturism,2018,2021-06-15,115,41,86,-7,33,70,194,13,18,68,2018,Solo
You Make It Easy,Jason Aldean,contemporary country,2018,2020-06-22,132,57,38,-5,11,41,197,14,3,74,2018,Solo
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018,2020-06-22,137,71,65,-5,13,38,230,0,30,76,2018,Solo
Rise,Jonas Blue,dance pop,2018,2020-06-22,106,79,69,-5,20,66,194,33,3,74,2018,Solo
Lucid Dreams,Juice WRLD,chicago rap,2018,2020-06-22,84,57,51,-7,34,22,240,35,20,89,2018,Solo
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2020-08-11,126,59,80,-7,15,78,213,26,9,85,2018,Solo
All The Stars (with SZA),Kendrick Lamar,conscious hip hop,2018,2020-06-22,97,63,70,-5,9,55,232,6,6,85,2018,Solo
Love Lies (with Normani),Khalid,pop,2018,2020-06-22,144,65,71,-6,13,34,202,10,4,78,2018,Solo
1950,King Princess,alt z,2018,2021-06-10,72,54,60,-7,16,27,225,65,11,77,2018,Solo
I Like Me Better,Lauv,dance pop,2018,2020-06-22,92,51,75,-8,10,42,197,54,25,86,2018,Solo
Yes Indeed,Lil Baby,atl hip hop,2018,2020-06-22,120,35,96,-9,11,56,142,4,53,84,2018,Solo
Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018,2020-06-22,133,60,76,-5,11,76,217,15,22,74,2018,Solo
Everyday,Logic,conscious hip hop,2018,2021-08-17,150,74,67,-4,8,42,205,4,4,74,2018,Solo
Body,Loud Luxury,dance pop,2017,2020-06-22,122,76,75,-4,5,58,163,5,4,77,2018,Duo
