title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Alone,Marshmello,brostep,2016,2021-08-17,142,95,63,-4,11,42,274,2,3,76,2016,Solo
In the Name of Love,Martin Garrix,dance pop,2016,2020-06-08,134,52,50,-6,45,17,196,11,4,81,2016,Solo
NO,Meghan Trainor,dance pop,2017,2020-06-08,92,80,56,-4,74,66,214,1,21,75,2016,Solo
The Ocean (feat. Shy Martin),Mike Perry,dance pop,2016,2020-06-08,90,57,63,-6,10,19,183,2,3,75,2016,Solo
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,2020-06-08,102,71,66,-7,8,71,198,4,11,81,2016,Solo
Final Song,MØ,art pop,2016,2020-06-08,105,67,70,-6,8,25,236,1,3,70,2016,Solo
This Town,Niall Horan,dance pop,2016,2020-06-08,112,41,68,-8,12,20,233,70,3,64,2016,Solo
Close,Nick Jonas,dance pop,2016,2020-06-08,124,62,65,-5,14,40,234,25,8,74,2016,Solo
History,Olivia Holt,alt z,2016,2020-06-08,101,63,77,-7,12,54,204,10,5,64,2016,Solo
History,One Direction,boy band,2015,2020-06-08,87,70,66,-4,6,80,187,4,5,77,2016,Band/Group
Wherever I Go,OneRepublic,dance pop,2016,2021-11-25,100,68,54,-6,24,35,170,10,4,68,2016,Band/Group
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,2020-06-29,163,70,63,-6,11,52,215,1,15,73,2016,Solo
Not Nice,PARTYNEXTDOOR,pop,2016,2020-06-08,128,50,60,-9,12,73,203,3,8,67,2016,Solo
Needed Me,Rihanna,barbadian pop,2016,2020-06-08,111,31,67,-8,8,30,192,11,24,84,2016,Solo
Work,Rihanna,barbadian pop,2016,2020-06-08,92,53,73,-6,9,56,219,8,9,80,2016,Solo
Lost Boy,Ruth B.,alt z,2015,2020-06-08,124,6,71,-15,9,35,275,97,5,77,2016,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2016,2020-06-08,186,64,33,-6,6,26,201,16,9,74,2016,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020-06-08,98,59,67,-4,21,44,229,2,3,70,2016,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020-06-08,111,50,81,-7,34,47,201,1,12,68,2016,Solo
Treat You Better,Shawn Mendes,canadian pop,2017,2020-06-08,83,82,44,-4,11,75,188,11,34,86,2016,Solo
