title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
It's A Vibe,2 Chainz,atl hip hop,2017,2021-01-28,73,50,82,-7,11,53,210,3,15,77,2017,Solo
Bank Account,21 Savage,atl hip hop,2017,2021-01-28,75,35,88,-8,9,38,220,2,35,82,2017,Solo
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,melodic rap,2017,2021-01-28,129,81,84,-5,12,81,209,50,6,79,2017,Solo
Plain Jane,A$AP Ferg,gangster rap,2017,2021-01-28,170,84,80,-5,9,52,174,7,28,79,2017,Solo
Weak,AJR,modern rock,2017,2021-01-28,124,64,67,-5,19,70,201,12,5,71,2017,Trio
Caroline,Aminé,hip hop,2017,2021-01-28,120,34,94,-10,26,71,210,17,51,80,2017,Solo
More Than You Know,Axwell /\ Ingrosso,dance pop,2017,2021-01-28,123,74,65,-5,31,57,203,3,3,83,2017,Duo
Rolex,Ayo & Teo,social media pop,2017,2021-01-28,145,89,80,-3,27,79,239,8,4,73,2017,Duo
Bounce Back,Big Sean,detroit hip hop,2017,2021-01-28,82,57,78,-6,13,27,222,11,14,76,2017,Solo
Man's Not Hot,Big Shaq,london rap,2017,2021-01-28,135,88,91,-4,11,59,186,11,24,67,2017,Solo
Bored,Billie Eilish,art pop,2017,2021-09-20,120,32,61,-13,8,11,181,90,5,88,2017,Solo
do re mi,blackbear,electropop,2017,2021-01-28,111,59,75,-6,12,17,212,1,5,77,2017,Solo
That's What I Like,Bruno Mars,dance pop,2016,2021-01-28,134,56,85,-5,9,86,207,1,4,86,2017,Solo
24K Magic,Bruno Mars,dance pop,2016,2021-01-28,107,80,82,-4,15,63,226,3,8,82,2017,Solo
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,2021-01-28,101,75,89,-3,9,87,223,6,6,81,2017,Solo
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,2021-01-28,104,80,74,-3,25,51,231,50,5,77,2017,Solo
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,2021-01-28,105,52,77,-4,13,39,217,18,3,84,2017,Solo
Bodak Yellow,Cardi B,dance pop,2018,2021-01-28,125,70,93,-6,23,49,224,7,10,77,2017,Solo
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,2021-01-28,113,62,74,-7,11,58,223,6,16,66,2017,Trio
Redbone,Childish Gambino,atl hip hop,2016,2021-01-28,160,34,74,-11,10,58,327,17,12,87,2017,Solo
