title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Thotiana,Blueface,cali rap,2018,2020-06-22,104,38,91,-13,11,39,129,18,27,71,2019,Solo
Boy With Luv (feat. Halsey),BTS,k-pop,2019,2020-06-22,120,86,65,-5,19,80,230,9,8,86,2019,Band/Group
Please Me,Cardi B,dance pop,2019,2020-06-22,134,57,75,-7,8,65,201,6,8,79,2019,Solo
Money,Cardi B,dance pop,2018,2020-06-22,130,59,95,-7,11,22,184,1,29,78,2019,Solo
Suge,DaBaby,north carolina hip hop,2019,2020-06-22,75,66,88,-6,13,84,163,6,43,77,2019,Solo
Location (feat. Burna Boy),Dave,uk hip hop,2019,2020-06-22,110,50,81,-6,10,55,241,27,30,81,2019,Solo
Juicy,Doja Cat,dance pop,2019,2020-06-22,170,66,79,-3,7,46,202,9,7,62,2019,Solo
3 Nights,Dominic Fike,alternative pop rock,2018,2020-06-22,152,52,82,-7,10,88,178,22,9,84,2019,Solo
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019,2020-06-22,101,50,83,-4,12,10,205,10,5,82,2019,Solo
Don't Start Now,Dua Lipa,dance pop,2019,2020-06-22,124,79,79,-5,10,68,183,1,8,84,2019,Solo
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,2019,2020-06-22,138,76,89,-6,16,61,190,22,22,71,2019,Solo
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,2020-06-22,95,79,75,-6,7,61,206,21,12,69,2019,Solo
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,2020-06-22,152,82,72,-5,36,91,162,13,5,68,2019,Solo
Leave Me Alone,Flipp Dinero,melodic rap,2019,2020-06-22,150,74,79,-3,18,74,196,11,9,75,2019,Solo
Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,2019,2021-10-28,101,67,66,-12,12,17,202,9,4,89,2019,Solo
Without Me,Halsey,dance pop,2018,2020-06-22,136,49,75,-7,9,53,202,30,7,82,2019,Solo
emotions,iann dior,melodic rap,2019,2021-08-17,81,63,63,-6,14,16,131,1,4,77,2019,Solo
gone girl,iann dior,melodic rap,2019,2021-08-17,95,71,68,-6,7,36,137,16,3,75,2019,Solo
MIDDLE CHILD,J. Cole,conscious hip hop,2019,2020-06-22,124,36,84,-12,27,46,214,15,28,85,2019,Solo
All Day And Night,Jax Jones,dance pop,2019,2020-06-22,122,78,59,-4,16,52,169,27,9,64,2019,Solo
