title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Style,Taylor Swift,pop,2014,2020-06-19,95,79,60,-6,12,46,231,0,4,75,2015,Solo
Spirits,The Strumbellas,canadian indie,2016,2021-08-09,81,66,56,-6,11,79,204,16,3,75,2015,Band/Group
The Hills,The Weeknd,canadian contemporary r&b,2015,2020-06-19,113,56,59,-7,14,14,242,7,5,88,2015,Solo
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,2020-06-19,108,77,71,-6,11,58,214,11,4,83,2015,Solo
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2014,2020-06-19,120,38,66,-6,10,43,252,39,3,81,2015,Solo
In The Night,The Weeknd,canadian contemporary r&b,2015,2020-06-19,168,68,51,-5,5,54,236,8,7,76,2015,Solo
Die A Happy Man,Thomas Rhett,contemporary country,2015,2020-06-19,166,39,60,-9,12,40,227,42,3,77,2015,Solo
Talking Body,Tove Lo,art pop,2014,2020-06-19,120,76,74,-5,8,11,238,10,3,71,2015,Solo
Antidote,Travis Scott,hip hop,2015,2020-06-19,131,53,71,-5,12,13,263,1,3,78,2015,Solo
Slow Motion,Trey Songz,dance pop,2015,2020-06-19,95,41,73,-8,11,29,198,68,4,75,2015,Solo
Na Na,Trey Songz,dance pop,2015,2020-06-19,97,48,67,-6,10,24,232,33,4,67,2015,Solo
YOUTH,Troye Sivan,australian pop,2015,2020-06-19,92,74,63,-4,8,59,185,6,4,70,2015,Solo
Stressed Out,Twenty One Pilots,modern rock,2015,2020-06-19,170,64,73,-6,6,65,202,5,14,88,2015,Duo
I Don't Mind (feat. Juicy J),Usher,atl hip hop,2014,2020-06-19,113,46,87,-8,9,46,252,21,18,73,2015,Solo
Shut Up and Dance,WALK THE MOON,dance pop,2014,2020-06-19,128,87,58,-4,26,62,199,1,6,86,2015,Band/Group
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,2020-06-19,80,48,69,-8,6,28,230,37,8,85,2015,Solo
Renegades,X Ambassadors,modern alternative rock,2015,2020-06-19,90,86,53,-6,23,53,195,1,9,80,2015,Band/Group
Unsteady,X Ambassadors,modern alternative rock,2015,2020-06-19,117,67,39,-6,12,20,194,18,6,78,2015,Band/Group
King,Years & Years,dance pop,2015,2020-06-19,120,86,56,-4,38,43,215,6,4,66,2015,Band/Group
I Want You To Know,Zedd,complextro,2015,2020-06-19,130,85,58,-3,14,37,240,1,6,70,2015,Solo
