title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,2021-01-28,102,76,72,-4,18,74,251,41,5,80,2017,Band/Group
Sorry Not Sorry,Demi Lovato,dance pop,2017,2021-01-28,144,64,71,-7,26,89,204,2,23,81,2017,Solo
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,2021-01-28,81,67,60,-4,13,82,289,5,4,70,2017,Solo
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2017,2021-01-28,98,68,61,-3,13,62,205,3,8,70,2017,Solo
Passionfruit,Drake,canadian hip hop,2017,2021-01-28,112,46,81,-11,11,36,299,26,4,86,2017,Solo
Fake Love,Drake,canadian hip hop,2017,2021-01-28,134,48,93,-9,18,61,211,11,29,78,2017,Solo
Perfect,Ed Sheeran,pop,2017,2021-01-28,95,45,60,-6,11,17,263,16,2,89,2017,Solo
Shape of You,Ed Sheeran,pop,2017,2021-01-28,96,65,83,-3,9,93,234,58,8,89,2017,Solo
Sit Next to Me,Foster The People,indietronica,2017,2021-06-25,97,74,64,-5,69,66,243,12,3,75,2017,Band/Group
Unforgettable,French Montana,gangster rap,2017,2021-01-28,98,77,73,-5,10,73,234,3,12,86,2017,Solo
Mask Off,Future,atl hip hop,2017,2021-01-28,150,43,83,-9,17,28,205,1,43,84,2017,Solo
Him & I (with Halsey),G-Eazy,indie pop rap,2017,2021-01-28,88,73,59,-6,31,19,269,5,9,80,2017,Solo
No Limit,G-Eazy,indie pop rap,2017,2021-01-28,176,77,84,-4,9,41,245,1,24,76,2017,Solo
Most Girls,Hailee Steinfeld,dance pop,2017,2021-01-28,103,57,76,-7,9,42,204,5,8,77,2017,Solo
Now Or Never,Halsey,dance pop,2017,2021-01-28,110,59,67,-5,13,45,215,11,4,71,2017,Solo
NUMB,Hayden James,aussietronica,2019,2021-06-25,148,56,62,-7,9,40,217,18,4,64,2017,Solo
Believer,Imagine Dragons,modern rock,2017,2021-01-28,125,78,78,-4,8,67,204,6,13,91,2017,Band/Group
Thunder,Imagine Dragons,modern rock,2017,2021-01-28,168,82,61,-5,15,29,187,1,4,87,2017,Band/Group
Whatever It Takes,Imagine Dragons,modern rock,2017,2021-01-28,135,66,67,-5,12,56,201,4,3,84,2017,Band/Group
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,2021-01-28,150,62,91,-7,10,42,177,0,10,87,2017,Solo
