title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Teenage Dream,Katy Perry,dance pop,2010,2022-02-17,120,80,72,-5,13,59,228,2,4,76,2010,Solo
Commander,Kelly Rowland,atl hip hop,2011,2022-02-17,125,88,40,-4,36,57,218,2,14,54,2010,Solo
TiK ToK,Kesha,dance pop,2010,2022-02-17,120,84,76,-3,29,71,200,10,14,86,2010,Solo
Your Love Is My Drug,Kesha,dance pop,2010,2022-02-17,120,61,83,-4,9,76,187,1,10,75,2010,Solo
Take It Off,Kesha,dance pop,2010,2022-02-17,125,68,73,-5,9,74,215,0,3,74,2010,Solo
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,2022-02-17,120,84,75,-3,42,52,172,8,12,67,2010,Solo
Wavin' Flag,K'NAAN,reggae fusion,2009,2022-02-17,76,70,63,-6,24,72,221,13,7,63,2010,Solo
Live Like We're Dying,Kris Allen,idol,2009,2022-02-17,92,89,59,-3,34,94,213,3,4,57,2010,Solo
Bad Romance,Lady Gaga,art pop,2009,2022-02-17,119,92,70,-4,8,71,295,0,4,86,2010,Solo
Telephone,Lady Gaga,art pop,2009,2022-02-17,122,84,82,-6,11,72,221,1,4,75,2010,Solo
Alejandro,Lady Gaga,art pop,2009,2022-02-17,99,79,62,-7,38,36,274,0,5,72,2010,Solo
Right Above It,Lil Wayne,hip hop,2010,2022-02-17,76,84,38,-4,58,46,272,4,36,74,2010,Solo
My Chick Bad,Ludacris,atl hip hop,2010,2022-02-17,85,72,62,-7,48,76,217,17,38,73,2010,Solo
How Low,Ludacris,atl hip hop,2010,2022-02-17,144,50,79,-7,22,42,202,0,5,68,2010,Solo
Misery,Maroon 5,pop,2010,2022-02-17,103,81,70,-5,22,73,216,0,4,70,2010,Band/Group
When We Collide,Matt Cardle,talent show,2011,2022-02-17,82,68,44,-6,31,45,226,2,3,52,2010,Solo
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,2022-02-17,130,82,77,-5,69,63,213,18,5,81,2010,Solo
Can't Be Tamed,Miley Cyrus,dance pop,2010,2022-02-17,117,91,63,-3,20,74,168,3,14,69,2010,Solo
Animal,Neon Trees,modern alternative rock,2010,2022-02-17,148,83,48,-6,37,74,212,0,4,76,2010,Band/Group
Fireflies,Owl City,indietronica,2009,2022-02-17,180,66,51,-7,12,47,228,3,4,84,2010,Band/Group
