title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Sorry,Joel Corry,dance pop,2019,2020-06-22,125,79,74,-5,32,85,189,5,6,68,2019,Solo
Sucker,Jonas Brothers,boy band,2019,2020-06-22,138,73,84,-5,11,95,181,4,6,84,2019,Band/Group
Only Human,Jonas Brothers,boy band,2019,2020-06-22,94,50,80,-6,6,87,183,11,7,76,2019,Band/Group
Robbery,Juice WRLD,chicago rap,2019,2020-06-22,80,69,62,-5,15,57,240,33,5,84,2019,Solo
Good as You,Kane Brown,black americana,2019,2020-06-22,154,52,63,-6,14,77,192,40,4,70,2019,Solo
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,2019,2020-06-22,146,73,61,-5,15,29,202,37,15,80,2019,Solo
Better,Khalid,pop,2018,2020-06-22,98,55,60,-10,10,11,229,8,10,81,2019,Solo
Talk (feat. Disclosure),Khalid,pop,2019,2020-06-22,136,40,90,-9,6,35,198,5,13,76,2019,Solo
ZEZE (feat. Travis Scott & Offset),Kodak Black,florida rap,2018,2020-06-22,98,60,86,-6,9,50,229,5,18,82,2019,Solo
Shallow,Lady Gaga,art pop,2018,2020-06-22,96,39,57,-6,23,32,216,37,3,87,2019,Solo
Doin' Time,Lana Del Rey,art pop,2019,2020-06-22,145,56,64,-11,9,52,202,40,4,83,2019,Solo
i'm so tired...,Lauv,dance pop,2020,2020-06-22,102,73,60,-7,24,53,163,18,20,81,2019,Solo
Someone You Loved,Lewis Capaldi,pop,2019,2020-06-22,110,41,50,-6,11,45,182,75,3,89,2019,Solo
Grace,Lewis Capaldi,pop,2019,2020-06-22,104,56,72,-6,17,49,186,44,3,72,2019,Solo
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,2020-06-22,136,62,88,-6,11,64,157,5,10,83,2019,Solo
Old Town Road,Lil Nas X,lgbtq+ hip hop,2019,2020-06-22,136,53,91,-6,10,51,113,6,13,80,2019,Solo
Panini,Lil Nas X,lgbtq+ hip hop,2019,2020-06-22,154,59,70,-6,12,48,115,34,8,76,2019,Solo
Ransom,Lil Tecca,melodic rap,2019,2020-06-22,180,64,75,-6,7,23,131,2,29,83,2019,Solo
Truth Hurts,Lizzo,dance pop,2019,2020-06-22,158,62,72,-3,12,41,173,11,11,80,2019,Solo
Good as Hell,Lizzo,dance pop,2019,2020-06-22,96,92,68,-3,44,54,160,26,9,77,2019,Solo
