title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Royals,Lorde,art pop,2013,2020-06-11,85,43,67,-10,13,34,190,12,12,83,2013,Solo
Team,Lorde,art pop,2013,2020-06-11,100,58,69,-7,31,42,193,17,9,82,2013,Solo
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2012,2020-06-11,146,92,64,-4,9,85,258,3,8,87,2013,Duo
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2012,2020-06-11,95,53,78,-7,5,67,236,6,29,79,2013,Duo
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,dance pop,2012,2020-06-11,85,47,69,-9,10,30,319,72,17,69,2013,Duo
Daylight,Maroon 5,pop,2012,2020-06-11,120,68,66,-6,21,33,225,0,3,66,2013,Band/Group
Animals - Radio Edit,Martin Garrix,dance pop,2016,2020-06-11,128,91,59,-5,7,4,176,0,4,64,2013,Solo
It's a Beautiful Day,Michael Bublé,adult standards,2013,2020-06-11,144,80,53,-4,30,78,199,6,4,71,2013,Solo
We Can't Stop,Miley Cyrus,dance pop,2013,2020-06-11,80,62,61,-6,37,48,231,1,3,83,2013,Solo
I Will Wait,Mumford & Sons,modern folk rock,2012,2020-06-11,131,76,48,-5,31,45,277,1,3,73,2013,Band/Group
La La La,Naughty Boy,tropical house,2013,2020-06-11,125,68,75,-4,11,25,221,11,3,63,2013,Solo
Hey Porsche,Nelly,dance pop,2013,2020-06-11,116,79,73,-5,65,95,209,15,3,49,2013,Solo
Little Talks,Of Monsters and Men,folk-pop,2012,2020-06-11,103,76,46,-5,15,42,267,2,3,85,2013,Band/Group
Best Song Ever,One Direction,boy band,2013,2020-06-11,118,88,65,-3,8,49,200,2,5,81,2013,Band/Group
One Way or Another (Teenage Kicks),One Direction,boy band,2013,2020-06-11,162,87,49,-3,59,41,157,3,7,71,2013,Band/Group
True Love (feat. Lily Allen),P!nk,dance pop,2012,2021-10-19,192,82,46,-5,11,58,231,0,31,76,2013,Solo
Still into You,Paramore,candy pop,2013,2020-06-11,136,92,60,-4,6,77,216,1,4,85,2013,Band/Group
Ain't It Fun,Paramore,candy pop,2013,2020-06-25,104,89,61,-4,2,67,297,15,9,78,2013,Band/Group
Home,Phillip Phillips,folk-pop,2013,2020-06-11,121,83,61,-6,12,32,210,3,3,73,2013,Solo
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2012,2020-06-11,136,76,67,-4,34,54,230,4,16,82,2013,Solo
