title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Paradise,Coldplay,permanent wave,2011,2020-06-22,140,59,45,-7,8,21,279,5,3,88,2012,Band/Group
Princess of China,Coldplay,permanent wave,2011,2020-06-22,85,69,42,-6,29,24,239,0,3,72,2012,Band/Group
Turn Me On (feat. Nicki Minaj),David Guetta,big room,2011,2020-06-22,128,79,71,-2,57,41,200,5,6,64,2012,Solo
In The Dark,DEV,dance pop,2012,2020-06-22,125,82,74,-4,33,44,226,0,7,62,2012,Solo
Latch,Disclosure,edm,2013,2020-06-22,122,74,73,-5,9,54,256,2,9,75,2012,Duo
Hot Right Now - Edit,DJ Fresh,dancefloor dnb,2010,2020-06-22,175,96,51,-2,12,39,179,1,4,41,2012,Solo
Take Care,Drake,canadian hip hop,2011,2020-06-22,122,52,63,-10,9,30,277,3,27,81,2012,Solo
The Motto,Drake,canadian hip hop,2011,2020-06-22,202,44,77,-9,11,39,182,0,36,79,2012,Solo
Lights - Single Version,Ellie Goulding,dance pop,2010,2020-06-22,120,80,68,-6,13,78,211,3,4,68,2012,Solo
Good Feeling,Flo Rida,dance pop,2012,2020-06-22,128,89,71,-4,31,68,248,6,7,81,2012,Solo
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,baroque pop,2012,2020-06-22,126,95,58,-4,10,59,218,0,5,59,2012,Band/Group
Lost,Frank Ocean,alternative r&b,2012,2020-06-22,123,60,91,-5,17,50,234,3,23,91,2012,Solo
Thinkin Bout You,Frank Ocean,alternative r&b,2012,2020-06-22,130,34,72,-11,10,20,201,41,5,81,2012,Solo
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,2020-06-22,184,64,38,-6,8,74,251,2,8,79,2012,Band/Group
Some Nights,fun.,baroque pop,2012,2020-06-22,108,74,67,-7,9,39,277,2,5,76,2012,Band/Group
Somebody That I Used To Know,Gotye,australian pop,2011,2020-06-22,129,50,86,-7,10,72,245,59,4,81,2012,Solo
Oblivion,Grimes,art pop,2012,2020-06-22,156,53,70,-9,9,49,251,12,3,71,2012,Solo
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,2011,2020-06-22,130,84,72,-4,15,65,222,13,5,67,2012,Band/Group
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020-06-22,126,91,71,-3,15,82,157,1,3,74,2012,Duo
It's Time,Imagine Dragons,modern rock,2012,2020-06-22,105,88,66,-5,14,86,238,2,4,72,2012,Band/Group
