title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
The Way I Am,Charlie Puth,dance pop,2018,2021-08-17,115,77,76,-6,6,64,186,31,19,68,2018,Solo
This Is America,Childish Gambino,atl hip hop,2018,2020-06-22,120,46,85,-6,35,55,226,12,14,75,2018,Solo
Tequila,Dan + Shay,contemporary country,2018,2020-06-22,86,58,49,-6,13,49,197,3,3,75,2018,Duo
Nevermind,Dennis Lloyd,israeli pop,2017,2020-06-22,100,69,60,-8,41,8,157,16,20,79,2018,Solo
No Brainer,DJ Khaled,dance pop,2018,2020-06-22,136,76,55,-5,9,64,260,7,34,71,2018,Solo
God's Plan,Drake,canadian hip hop,2018,2020-06-22,77,45,75,-9,55,36,199,3,11,86,2018,Solo
Nonstop,Drake,canadian hip hop,2018,2020-06-22,155,41,91,-8,10,42,239,2,12,82,2018,Solo
Nice For What,Drake,canadian hip hop,2018,2020-06-22,93,91,59,-6,12,76,211,9,7,81,2018,Solo
In My Feelings,Drake,canadian hip hop,2018,2020-06-22,91,63,84,-6,40,35,218,6,13,80,2018,Solo
I'm Upset,Drake,canadian hip hop,2018,2020-06-22,150,59,90,-8,8,49,214,28,34,73,2018,Solo
IDGAF,Dua Lipa,dance pop,2017,2020-06-22,97,54,84,-6,8,51,218,4,9,83,2018,Solo
In My Mind,Dynoro,edm,2018,2020-06-22,126,77,69,-5,12,16,185,18,15,83,2018,Solo
Trip,Ella Mai,dance pop,2018,2020-06-22,80,61,48,-6,11,36,214,23,14,77,2018,Solo
Boo'd Up,Ella Mai,dance pop,2017,2020-06-22,82,78,56,-5,8,24,256,9,5,73,2018,Solo
River (feat. Ed Sheeran),Eminem,detroit hip hop,2017,2020-06-22,90,75,75,-6,7,66,221,14,52,77,2018,Solo
German,EO,afroswing,2018,2020-06-22,103,58,86,-6,19,85,171,81,7,71,2018,Solo
Let's Fall in Love for the Night,FINNEAS,alt z,2018,2021-06-15,128,41,74,-8,17,37,190,80,10,77,2018,Solo
Simple,Florida Georgia Line,contemporary country,2019,2020-06-22,200,88,36,-4,15,86,185,8,10,75,2018,Duo
Him & I (with Halsey),G-Eazy,indie pop rap,2017,2020-06-22,88,73,59,-6,31,19,269,5,9,80,2018,Solo
Shotgun,George Ezra,folk-pop,2018,2020-06-22,116,74,67,-5,24,75,201,29,5,81,2018,Solo
