title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2021-01-28,126,59,80,-7,15,78,213,26,9,85,2017,Solo
DNA.,Kendrick Lamar,conscious hip hop,2017,2021-01-28,140,52,64,-7,8,42,186,0,36,83,2017,Solo
ELEMENT.,Kendrick Lamar,conscious hip hop,2017,2021-01-28,190,71,75,-5,25,48,209,20,49,76,2017,Solo
Young Dumb & Broke,Khalid,pop,2017,2021-01-28,137,54,80,-6,17,39,203,20,4,84,2017,Solo
Location,Khalid,pop,2017,2021-01-28,80,45,74,-11,9,33,219,33,43,83,2017,Solo
Tunnel Vision,Kodak Black,florida rap,2017,2021-01-28,172,49,50,-8,12,23,268,6,29,78,2017,Solo
iSpy (feat. Lil Yachty),KYLE,pop,2016,2021-01-28,75,65,75,-7,23,67,253,38,29,76,2017,Solo
Lust For Life (with The Weeknd),Lana Del Rey,art pop,2017,2021-01-28,100,66,50,-9,36,26,264,60,5,73,2017,Solo
Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,2021-01-28,106,50,87,-5,8,55,202,20,5,75,2017,Solo
Save That Shit,Lil Peep,emo rap,2017,2021-01-28,106,58,53,-9,42,14,232,3,3,82,2017,Solo
Gucci Gang,Lil Pump,emo rap,2017,2021-01-28,120,52,94,-7,12,70,124,24,6,69,2017,Solo
XO Tour Llif3,Lil Uzi Vert,melodic rap,2017,2021-01-28,155,75,73,-6,11,40,183,0,23,86,2017,Solo
Touch (feat. Kid Ink),Little Mix,dance pop,2016,2021-01-28,102,75,64,-4,49,55,203,4,11,59,2017,Band/Group
1-800-273-8255,Logic,conscious hip hop,2017,2021-01-28,100,57,62,-8,19,36,250,57,5,82,2017,Solo
Liability,Lorde,art pop,2017,2021-06-25,76,23,59,-11,10,38,172,92,13,79,2017,Solo
Green Light,Lorde,art pop,2017,2021-01-28,129,72,59,-8,9,25,235,2,10,78,2017,Solo
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,art pop,2017,2021-06-25,107,55,78,-5,13,18,214,23,8,71,2017,Solo
broken,lovelytheband,indie poptimism,2018,2021-06-25,123,73,67,-6,4,51,205,0,4,76,2017,Band/Group
Despacito,Luis Fonsi,latin,2019,2021-01-28,178,80,66,-5,7,84,229,20,15,83,2017,Solo
Bad Things (with Camila Cabello),Machine Gun Kelly,ohio hip hop,2017,2021-01-28,138,69,70,-5,19,31,239,21,15,76,2017,Solo
