title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Bad Vibe,M.O,afroswing,2018,2020-06-22,110,70,81,-4,10,76,214,18,4,58,2018,Band/Group
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,ohio hip hop,2017,2021-05-06,82,72,65,-5,5,22,203,0,21,77,2018,Solo
Corazón (feat. Nego do Borel),Maluma,latin,2018,2020-06-22,198,74,72,-6,20,75,185,33,25,74,2018,Solo
Wait,Maroon 5,pop,2018,2020-06-22,126,60,66,-5,11,45,191,10,6,64,2018,Band/Group
Happier,Marshmello,brostep,2018,2020-06-22,100,79,69,-3,17,67,214,19,5,86,2018,Solo
Silence,Marshmello,brostep,2017,2020-06-22,142,76,52,-3,17,29,181,26,9,84,2018,Solo
FRIENDS,Marshmello,brostep,2018,2020-06-22,95,88,63,-2,13,53,203,21,5,83,2018,Solo
Spotlight,Marshmello,brostep,2018,2021-08-17,150,82,55,-4,74,62,178,1,15,76,2018,Solo
Walk It Talk It,Migos,atl hip hop,2018,2020-06-22,146,63,91,-5,11,40,276,9,18,79,2018,Trio
MotorSport,Migos,atl hip hop,2018,2020-08-11,138,52,90,-5,33,19,303,3,18,77,2018,Trio
Stir Fry,Migos,atl hip hop,2018,2020-06-22,182,82,82,-5,16,51,190,0,27,75,2018,Trio
17,MK,dance pop,2017,2020-06-22,122,83,70,-7,7,67,196,0,7,69,2018,Solo
Let You Down,NF,hip hop,2017,2020-06-22,148,71,66,-6,18,46,212,31,12,84,2018,Solo
Te Boté - Remix,Nio Garcia,latin,2018,2020-06-22,97,68,90,-3,6,44,418,54,21,81,2018,Solo
Ric Flair Drip (with Metro Boomin),Offset,atl hip hop,2017,2020-06-22,100,43,88,-8,11,33,173,15,21,85,2018,Solo
Vaina Loca,Ozuna,latin,2018,2020-06-22,94,81,75,-4,20,56,176,32,8,77,2018,Solo
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,colombian pop,2018,2020-06-22,170,79,68,-4,8,84,220,5,8,76,2018,Band/Group
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,2020-06-22,160,52,59,-6,13,13,218,12,7,87,2018,Solo
Better Now,Post Malone,dfw rap,2018,2020-06-22,145,58,68,-6,14,34,231,33,4,84,2018,Solo
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,2020-06-22,140,56,75,-8,11,46,221,55,11,82,2018,Solo
