title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Wow.,Post Malone,dfw rap,2019,2020-06-22,100,54,83,-7,10,39,150,14,21,83,2019,Solo
Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,2020-06-22,150,65,55,-4,10,16,175,46,8,82,2019,Solo
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,1975,2020-06-22,144,40,39,-10,24,23,354,29,5,77,2019,Band/Group
Ride It,Regard,dance pop,2019,2020-06-22,118,75,88,-4,11,88,158,18,9,85,2019,Solo
Keisha & Becky - Remix,Russ Millions,uk drill,2019,2020-08-20,141,47,86,-10,12,64,253,25,48,73,2019,Solo
Post Malone (feat. RANI),Sam Feldt,dance pop,2019,2020-06-22,107,64,59,-4,11,65,174,8,12,74,2019,Solo
My Type,Saweetie,cali rap,2019,2020-06-22,105,81,90,-6,7,59,126,0,26,76,2019,Solo
Otro Trago,Sech,latin,2019,2020-06-22,176,70,75,-5,11,62,226,14,34,76,2019,Solo
Señorita,Shawn Mendes,canadian pop,2019,2020-06-22,117,55,76,-6,8,75,191,4,3,83,2019,Solo
If I Can't Have You,Shawn Mendes,canadian pop,2019,2020-06-22,124,81,69,-4,15,86,191,52,6,78,2019,Solo
Don’t Feel Like Crying,Sigrid,dance pop,2019,2020-06-22,120,81,75,-4,7,72,157,16,4,56,2019,Solo
Vossi Bop,Stormzy,grime,2019,2020-06-22,188,65,68,-6,13,43,196,13,34,69,2019,Solo
Lover,Taylor Swift,pop,2019,2020-06-22,69,54,36,-8,12,45,221,49,9,86,2019,Solo
Cruel Summer,Taylor Swift,pop,2019,2021-08-17,170,70,55,-6,11,56,178,12,16,82,2019,Solo
You Need To Calm Down,Taylor Swift,pop,2019,2020-06-22,85,67,77,-6,6,71,171,1,6,81,2019,Solo
SICKO MODE,Travis Scott,hip hop,2018,2020-06-22,155,73,83,-4,12,45,313,1,22,86,2019,Solo
EARFQUAKE,"Tyler, The Creator",hip hop,2019,2020-06-22,80,50,55,-9,80,41,190,23,7,85,2019,Solo
Boasty (feat. Idris Elba),Wiley,grime,2019,2020-06-22,103,77,89,-5,9,46,177,1,7,68,2019,Solo
Strike a Pose (feat. Aitch),Young T & Bugsey,afroswing,2019,2020-08-20,138,58,53,-6,10,59,214,1,10,67,2019,Duo
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,2020-06-22,98,59,80,-7,13,18,200,2,15,75,2019,Solo
