title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Shake It Out,Florence + The Machine,baroque pop,2011,2020-06-16,107,80,53,-4,11,22,278,1,4,68,2011,Band/Group
Pumped Up Kicks,Foster The People,indietronica,2011,2020-06-16,128,71,73,-6,10,97,240,14,3,88,2011,Band/Group
Tongue Tied,Grouplove,indie pop,2011,2020-06-16,113,94,56,-6,16,37,218,1,4,84,2011,Band/Group
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011,2020-06-16,90,80,65,-3,27,80,211,3,10,87,2011,Band/Group
Tonight Tonight,Hot Chelle Rae,dance pop,2011,2020-06-16,100,78,69,-5,16,81,200,8,12,79,2011,Band/Group
Dirt Road Anthem,Jason Aldean,contemporary country,2010,2020-06-16,127,74,68,-5,12,64,229,35,4,77,2011,Solo
It Girl,Jason Derulo,dance pop,2011,2020-06-16,92,72,67,-5,10,35,192,2,6,76,2011,Solo
Don't Wanna Go Home,Jason Derulo,dance pop,2011,2020-06-16,122,81,67,-5,13,64,206,2,7,68,2011,Solo
On The Floor,Jennifer Lopez,dance pop,2011,2020-06-16,130,78,73,-5,7,57,285,11,5,84,2011,Solo
Down On Me,Jeremih,chicago rap,2010,2020-06-16,160,60,70,-8,11,59,228,4,11,77,2011,Solo
Do It Like A Dude,Jessie J,dance pop,2011,2020-06-16,140,84,66,-4,36,38,195,5,5,53,2011,Solo
All Of The Lights,Kanye West,chicago rap,2010,2020-06-16,142,80,53,-3,18,22,300,8,7,82,2011,Solo
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,2020-06-16,126,82,65,-4,67,77,231,0,4,80,2011,Solo
Firework,Katy Perry,dance pop,2010,2020-06-16,124,83,64,-5,11,65,228,14,5,72,2011,Solo
E.T.,Katy Perry,dance pop,2012,2020-06-16,152,87,62,-5,37,76,230,2,18,71,2011,Solo
Motivation,Kelly Rowland,atl hip hop,2011,2020-06-16,141,67,74,-6,11,27,231,19,4,70,2011,Solo
Pretty Girl Rock,Keri Hilson,dance pop,2010,2020-06-16,160,87,67,-5,9,90,244,20,25,72,2011,Solo
We R Who We R,Kesha,dance pop,2010,2020-06-16,120,82,74,-5,12,65,205,1,4,77,2011,Solo
Blow,Kesha,dance pop,2010,2020-06-16,120,73,75,-4,7,81,220,0,4,75,2011,Solo
Earthquake (feat. Tinie Tempah),Labrinth,indie poptimism,2012,2020-06-16,153,86,54,-4,28,26,275,11,10,68,2011,Solo
