title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Soltera - Remix,Lunay,latin,2019,2020-06-22,92,78,80,-4,44,80,266,36,4,74,2019,Solo
Light On,Maggie Rogers,indie pop,2019,2020-06-22,102,57,66,-6,13,40,234,20,5,72,2019,Solo
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,2020-06-22,114,79,60,-6,39,24,217,1,7,84,2019,Solo
Here With Me,Marshmello,brostep,2019,2020-06-22,100,56,79,-4,16,18,156,6,4,77,2019,Solo
One Thing Right,Marshmello,brostep,2019,2020-06-22,88,63,66,-2,58,44,182,6,5,77,2019,Solo
Piece Of Your Heart,MEDUZA,edm,2019,2020-06-22,124,74,68,-7,7,63,153,4,3,81,2019,Band/Group
Going Bad (feat. Drake),Meek Mill,hip hop,2018,2020-06-22,86,50,89,-6,25,54,181,26,9,83,2019,Solo
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,dance pop,2019,2020-06-22,99,81,87,-5,21,57,199,0,16,73,2019,Solo
Slide Away,Miley Cyrus,dance pop,2019,2020-06-22,148,54,53,-7,25,29,234,17,3,74,2019,Solo
Pure Water (with Migos),Mustard,cali rap,2019,2020-06-22,202,56,68,-6,34,14,192,17,13,80,2019,Solo
Shotta Flow (feat. Blueface) [Remix],NLE Choppa,memphis hip hop,2019,2020-06-22,120,51,89,-5,14,57,177,3,42,74,2019,Solo
Motivation,Normani,dance pop,2019,2020-06-22,171,89,60,-4,30,88,194,2,10,76,2019,Solo
Options,NSG,afro dancehall,2020,2020-08-20,102,62,84,-5,10,76,240,39,9,62,2019,Band/Group
Clout (feat. Cardi B),Offset,atl hip hop,2019,2020-06-22,140,62,92,-7,12,42,206,23,10,73,2019,Solo
High Hopes,Panic! At The Disco,modern rock,2018,2020-06-22,82,90,58,-3,6,68,191,19,6,85,2019,Band/Group
Adan y Eva,Paulo Londra,argentine hip hop,2019,2020-06-22,172,71,77,-4,7,72,257,32,34,76,2019,Solo
Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,2020-06-22,168,64,77,-7,7,26,167,15,47,83,2019,Solo
Circles,Post Malone,dfw rap,2019,2020-06-22,120,76,70,-3,9,55,215,19,4,89,2019,Solo
Better Now,Post Malone,dfw rap,2018,2020-06-22,145,58,68,-6,14,34,231,33,4,84,2019,Solo
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,2020-06-22,90,52,76,-4,7,93,158,53,6,84,2019,Solo
