title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Time of Our Lives,Pitbull,dance pop,2014,2020-06-19,124,80,72,-6,69,72,229,9,6,85,2015,Solo
No Type,Rae Sremmurd,hip hop,2015,2020-06-19,125,49,89,-8,9,24,200,2,16,77,2015,Duo
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,2015,2020-06-19,82,61,73,-8,19,89,177,4,5,70,2015,Solo
FourFiveSeconds,Rihanna,barbadian pop,2015,2020-06-19,206,27,58,-6,13,35,188,88,5,82,2015,Solo
Bitch Better Have My Money,Rihanna,barbadian pop,2015,2020-06-19,103,73,78,-5,26,40,219,5,6,78,2015,Solo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2020-06-19,108,43,89,-10,9,23,177,3,14,81,2015,Solo
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,2020-06-19,123,82,64,-5,16,64,219,2,6,81,2015,Solo
Lay It All on Me (feat. Ed Sheeran),Rudimental,dance pop,2015,2020-06-19,123,75,67,-7,19,48,242,14,4,55,2015,Band/Group
Like I Can,Sam Smith,dance pop,2014,2020-06-19,100,63,66,-7,12,48,167,34,4,85,2015,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,2020-06-19,186,66,34,-6,6,29,199,17,10,60,2015,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020-06-22,98,59,67,-4,21,44,229,2,3,70,2015,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020-06-19,111,50,81,-7,34,47,201,1,12,68,2015,Solo
Good For You,Selena Gomez,dance pop,2015,2020-06-22,89,68,61,-6,9,21,222,18,5,62,2015,Solo
Geronimo,Sheppard,australian indie,2015,2020-06-22,142,78,71,-6,12,46,218,46,8,68,2015,Band/Group
Easy Love,Sigala,dance pop,2018,2020-06-19,124,94,68,-4,12,65,230,18,6,70,2015,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020-06-22,95,52,68,-6,11,18,230,12,14,77,2015,Duo
The Less I Know The Better,Tame Impala,australian psych,2015,2020-06-19,117,74,64,-4,17,79,216,1,3,88,2015,Band/Group
Blank Space,Taylor Swift,pop,2014,2020-06-19,96,68,75,-5,13,58,232,9,6,79,2015,Solo
Wildest Dreams,Taylor Swift,pop,2014,2020-06-19,140,67,55,-7,11,47,220,7,7,76,2015,Solo
Bad Blood,Taylor Swift,pop,2015,2020-06-19,170,66,65,-7,14,22,200,3,11,75,2015,Solo
