title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
She Looks So Perfect,5 Seconds of Summer,boy band,2014,2020-06-10,160,95,49,-4,33,44,202,0,13,78,2014,Band/Group
Amnesia,5 Seconds of Summer,boy band,2014,2020-06-10,102,50,57,-5,21,11,237,3,3,71,2014,Band/Group
Heroes (we could be),Alesso,dance pop,2014,2020-06-10,126,75,52,-4,24,35,210,4,6,58,2014,Solo
The Man,Aloe Blacc,pop soul,2014,2020-06-10,82,77,31,-7,21,49,255,3,7,63,2014,Solo
Best Day Of My Life,American Authors,indie poptimism,2014,2020-06-10,100,90,67,-2,6,54,194,6,3,83,2014,Band/Group
Love Me Harder,Ariana Grande,dance pop,2014,2020-06-10,99,71,47,-4,8,24,236,1,3,80,2014,Solo
Problem,Ariana Grande,dance pop,2014,2020-06-10,103,81,66,-5,16,63,194,2,15,78,2014,Solo
Break Free,Ariana Grande,dance pop,2014,2020-06-10,130,70,69,-5,20,28,215,1,5,80,2014,Solo
Hey Brother,Avicii,dance pop,2013,2020-06-10,125,78,55,-5,8,46,255,3,4,82,2014,Solo
Shower,Becky G,dance pop,2014,2020-06-10,120,53,70,-8,28,12,206,3,5,83,2014,Solo
Drunk in Love (feat. Jay-Z),Beyoncé,dance pop,2014,2020-06-10,140,62,59,-7,18,40,323,1,5,75,2014,Solo
Hot N*gga,Bobby Shmurda,nyc rap,2014,2020-06-10,168,51,79,-7,6,18,195,5,42,78,2014,Solo
Summer,Calvin Harris,dance pop,2014,2020-06-10,128,86,60,-4,14,74,223,2,3,86,2014,Solo
Blame (feat. John Newman),Calvin Harris,dance pop,2014,2020-06-10,128,86,41,-4,34,35,213,3,8,81,2014,Solo
Under Control (feat. Hurts),Calvin Harris,dance pop,2014,2020-06-10,126,92,54,-3,12,51,184,13,8,77,2014,Solo
Boom Clap,Charli XCX,art pop,2014,2020-06-10,92,91,66,-2,19,58,170,15,8,54,2014,Solo
Loyal (feat. Lil Wayne & Tyga),Chris Brown,dance pop,2014,2020-06-10,99,52,84,-6,19,62,265,2,5,78,2014,Solo
New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,2014,2020-06-10,142,63,70,-4,10,45,244,5,4,73,2014,Solo
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2014,2020-06-10,121,59,80,-7,19,55,228,16,4,77,2014,Band/Group
First,Cold War Kids,alternative rock,2014,2020-06-10,78,69,47,-4,52,56,200,2,3,71,2014,Band/Group
