title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Today Was A Fairytale,Taylor Swift,pop,2011,2022-02-17,158,70,49,-4,17,34,242,3,3,56,2010,Solo
If I Die Young,The Band Perry,contemporary country,2010,2022-02-17,131,50,61,-7,28,36,223,35,3,74,2010,Band/Group
For the First Time,The Script,celtic rock,2011,2022-02-17,174,63,40,-5,18,36,253,3,3,66,2010,Band/Group
All Time Low,The Wanted,boy band,2010,2022-02-17,134,62,69,-5,8,79,205,35,5,63,2010,Band/Group
Seek Bromance (Avicii Vocal Edit),Tim Berg,edm,2010,2022-02-17,126,81,49,-3,9,55,201,9,4,55,2010,Solo
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,2009,2022-02-17,116,57,53,-7,26,27,232,11,11,74,2010,Solo
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009,2022-02-17,126,61,65,-7,6,39,293,0,4,74,2010,Solo
Pass Out,Tinie Tempah,dance pop,2010,2022-02-17,91,89,69,-3,14,53,268,3,30,51,2010,Solo
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,2022-02-17,123,97,62,-3,20,30,208,5,13,51,2010,Solo
"Hey, Soul Sister",Train,dance pop,2010,2022-02-17,97,89,67,-4,8,80,217,19,4,87,2010,Band/Group
Billionaire (feat. Bruno Mars),Travie McCoy,dance pop,2010,2022-02-17,87,67,63,-6,21,66,211,30,26,77,2010,Solo
Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2010,2022-02-17,74,60,84,-5,39,33,242,2,16,78,2010,Solo
Say Aah (feat. Fabolous),Trey Songz,dance pop,2009,2022-02-17,93,87,72,-4,83,81,208,0,11,68,2010,Solo
What You Know,Two Door Cinema Club,indie rock,2010,2022-02-17,139,74,56,-4,8,78,192,0,4,76,2010,Band/Group
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,2022-02-17,120,86,66,-3,8,65,221,3,11,84,2010,Solo
OMG (feat. will.i.am),Usher,atl hip hop,2010,2022-02-17,130,75,78,-6,36,33,269,20,3,78,2010,Solo
Hey Daddy (Daddy's Home),Usher,atl hip hop,2010,2022-02-17,96,70,59,-4,11,35,224,0,3,65,2010,Solo
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,2022-02-17,131,60,76,-6,24,36,264,1,4,63,2010,Solo
We No Speak Americano (Edit),Yolanda Be Cool,australian dance,2020,2022-02-17,125,81,90,-5,9,75,157,7,5,65,2010,Duo
BedRock,Young Money,dance pop,2009,2022-02-17,148,66,73,-6,19,56,288,10,30,76,2010,Band/Group
