title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,2020-06-11,127,96,72,-4,38,95,206,1,9,69,2013,Solo
Blurred Lines,Robin Thicke,contemporary r&b,2013,2020-06-11,120,50,86,-8,8,88,263,0,5,61,2013,Solo
Waiting All Night (feat. Ella Eyre),Rudimental,dance pop,2013,2020-06-11,175,73,54,-5,43,28,293,0,5,50,2013,Solo
Reload - Radio Edit,Sebastian Ingrosso,dance pop,2013,2020-06-11,128,72,49,-5,6,43,221,7,5,73,2013,Solo
Come & Get It,Selena Gomez,dance pop,2013,2020-06-11,80,79,55,-4,8,57,232,1,5,75,2013,Solo
Look Right Through - MK Vocal Edit,Storm Queen,deep disco house,2013,2020-06-11,120,82,83,-8,28,51,148,0,8,44,2013,Solo
Papaoutai,Stromae,belgian pop,2013,2020-06-11,116,81,73,-7,6,25,232,3,8,60,2013,Solo
I Knew You Were Trouble.,Taylor Swift,pop,2012,2020-06-11,77,47,62,-7,3,68,220,0,4,82,2013,Solo
22,Taylor Swift,pop,2012,2020-06-11,104,73,66,-7,5,67,232,0,4,74,2013,Solo
Everything Has Changed,Taylor Swift,pop,2012,2020-06-11,80,46,62,-7,31,44,245,36,3,71,2013,Solo
Chocolate,The 1975,modern alternative rock,2013,2020-06-11,100,94,59,-4,38,68,225,0,5,66,2013,Band/Group
Ho Hey,The Lumineers,folk-pop,2012,2020-06-11,80,47,69,-9,9,35,163,79,3,77,2013,Band/Group
Sweater Weather,The Neighbourhood,modern alternative rock,2013,2020-06-11,124,81,61,-3,10,40,240,5,3,95,2013,Band/Group
What About Us,The Saturdays,bubblegum dance,2013,2020-06-11,124,68,70,-5,21,69,221,1,6,67,2013,Band/Group
Another Love,Tom Odell,chill pop,2013,2020-06-11,123,54,45,-9,9,13,244,70,4,94,2013,Solo
Bad (feat. Rihanna) - Remix,Wale,gangster rap,2013,2020-06-11,114,70,81,-7,11,45,239,31,7,67,2013,Solo
Scream & Shout,will.i.am,dance pop,2013,2020-06-11,130,69,77,-7,13,50,283,2,7,83,2013,Solo
#thatPOWER,will.i.am,dance pop,2013,2020-06-11,128,61,80,-6,7,40,280,0,6,74,2013,Solo
The Fox (What Does the Fox Say?),Ylvis,comic,2013,2020-06-11,128,87,70,-4,12,55,214,11,5,68,2013,Duo
Clarity,Zedd,complextro,2012,2020-06-11,128,78,51,-3,7,18,271,4,7,80,2013,Solo
