title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Glorious (feat. Skylar Grey),Macklemore,pop rap,2017,2021-01-28,140,79,73,-5,11,36,220,3,5,78,2017,Solo
Cold (feat. Future),Maroon 5,pop,2018,2021-01-28,100,72,69,-6,5,41,234,14,11,68,2017,Band/Group
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,2018,2021-01-28,100,61,78,-6,10,42,214,34,7,66,2017,Band/Group
Little Dark Age,MGMT,alternative dance,2018,2022-03-08,98,71,71,-6,10,62,300,1,4,85,2017,Band/Group
Bad and Boujee (feat. Lil Uzi Vert),Migos,atl hip hop,2017,2021-01-28,127,67,93,-5,12,17,343,6,24,78,2017,Trio
Slippery (feat. Gucci Mane),Migos,atl hip hop,2017,2021-01-28,142,68,92,-6,10,75,304,31,26,74,2017,Trio
T-Shirt,Migos,atl hip hop,2017,2021-01-28,139,69,87,-4,16,49,242,24,22,71,2017,Trio
Sky Walker (feat. Travis Scott),Miguel,dance pop,2017,2021-01-28,146,51,67,-11,9,18,259,17,4,78,2017,Solo
Malibu,Miley Cyrus,dance pop,2017,2021-01-28,140,78,57,-6,8,34,232,8,6,77,2017,Solo
Nights With You,MØ,art pop,2017,2021-06-25,120,67,76,-4,38,60,197,40,10,61,2017,Solo
Slow Hands,Niall Horan,dance pop,2017,2021-01-28,86,43,74,-7,6,85,188,1,5,79,2017,Solo
Magnolia,Playboi Carti,atl hip hop,2017,2021-01-28,163,58,79,-7,35,44,182,1,29,82,2017,Solo
Chameleon,PNAU,alternative dance,2017,2021-01-28,120,93,72,-3,30,20,198,0,4,48,2017,Trio
Feel It Still,Portugal. The Man,indie rock,2017,2021-01-28,79,80,80,-5,7,75,163,4,5,81,2017,Band/Group
Congratulations,Post Malone,dfw rap,2016,2021-01-28,123,80,63,-4,25,49,220,22,4,85,2017,Solo
I Fall Apart,Post Malone,dfw rap,2016,2021-01-28,144,54,56,-5,20,29,223,7,4,83,2017,Solo
Swang,Rae Sremmurd,hip hop,2016,2021-01-28,140,31,68,-9,10,17,208,20,6,80,2017,Duo
Black Beatles,Rae Sremmurd,hip hop,2016,2021-01-28,146,63,79,-6,13,36,292,14,6,80,2017,Duo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2021-01-28,108,43,89,-10,9,23,177,3,14,81,2017,Solo
Losin Control,Russ,hawaiian hip hop,2017,2021-01-28,97,25,76,-7,10,21,238,52,14,79,2017,Solo
