title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Magic,Coldplay,permanent wave,2014,2020-06-10,93,48,74,-9,11,35,285,3,4,78,2014,Band/Group
A Sky Full of Stars,Coldplay,permanent wave,2014,2020-06-10,125,68,55,-6,21,16,268,1,3,85,2014,Band/Group
Bad (feat. Vassy) - Radio Edit,David Guetta,big room,2014,2020-06-10,128,97,61,-4,33,41,171,0,9,56,2014,Solo
Lovers on the Sun (feat. Sam Martin),David Guetta,big room,2014,2020-06-10,125,89,65,-3,38,57,204,9,4,53,2014,Solo
Latch,Disclosure,edm,2013,2020-06-10,122,74,73,-5,9,54,256,2,9,75,2014,Duo
Turn Down for What,DJ Snake,dance pop,2013,2020-06-10,100,80,82,-4,6,8,214,0,16,76,2014,Solo
You Know You Like It,DJ Snake,dance pop,2014,2020-06-10,196,73,41,-5,31,25,247,1,19,75,2014,Solo
I Got U,Duke Dumont,destroy techno,2014,2020-06-10,121,76,64,-8,9,46,286,0,4,65,2014,Solo
Cool Kids,Echosmith,dance pop,2013,2020-06-10,130,67,72,-6,12,79,238,4,3,76,2014,Band/Group
Don't,Ed Sheeran,pop,2014,2020-06-10,95,61,81,-7,64,85,220,1,7,78,2014,Solo
Sing,Ed Sheeran,pop,2014,2020-06-10,120,67,82,-4,6,94,235,30,5,75,2014,Solo
Ugly Heart,G.R.L.,dance pop,2014,2020-06-10,125,79,65,-5,32,45,198,2,5,70,2014,Band/Group
Budapest,George Ezra,folk-pop,2014,2020-06-10,128,46,72,-8,11,39,201,8,3,83,2014,Solo
Blame It on Me,George Ezra,folk-pop,2014,2021-08-09,104,76,54,-3,34,42,196,47,3,73,2014,Solo
Ready For Your Love,Gorgon City,deep groove house,2014,2020-06-10,122,75,68,-7,33,47,199,5,15,51,2014,Duo
Fancy,Iggy Azalea,australian hip hop,2014,2020-06-10,95,72,91,-4,5,38,200,9,7,74,2014,Solo
Black Widow,Iggy Azalea,australian hip hop,2014,2020-06-10,164,72,74,-4,11,52,209,19,12,71,2014,Solo
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,2020-06-10,100,65,76,-7,31,76,178,3,23,71,2014,Solo
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2013,2020-06-10,82,62,70,-7,16,72,193,8,25,63,2014,Solo
Trumpets,Jason Derulo,dance pop,2013,2020-06-10,82,69,64,-5,10,64,217,56,26,69,2014,Solo
