title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Ghost Town,Adam Lambert,dance pop,2015,2020-06-22,120,74,70,-6,17,27,208,19,5,69,2015,Solo
Here,Alessia Cara,canadian contemporary r&b,2015,2020-06-22,120,82,38,-4,8,33,199,8,10,71,2015,Solo
"Honey, I'm Good.",Andy Grammer,dance pop,2014,2020-06-19,122,78,75,-7,35,60,199,3,5,78,2015,Solo
Love Me Harder,Ariana Grande,dance pop,2014,2020-06-19,99,71,47,-4,8,24,236,1,3,79,2015,Solo
The Nights,Avicii,dance pop,2014,2020-06-19,126,84,53,-5,25,65,177,2,4,89,2015,Solo
Waiting For Love,Avicii,dance pop,2015,2020-06-19,128,74,58,-4,20,61,231,31,5,84,2015,Solo
  7/11,Beyoncé,dance pop,2014,2020-06-19,136,71,75,-5,13,56,214,1,13,74,2015,Solo
I Don't Fuck With You,Big Sean,detroit hip hop,2015,2020-06-19,98,73,82,-5,33,40,284,4,6,80,2015,Solo
Electric Love,BØRNS,modern rock,2015,2020-06-19,120,80,61,-8,26,52,218,1,5,86,2015,Solo
Don't,Bryson Tiller,kentucky hip hop,2015,2020-06-19,97,36,77,-6,10,19,198,22,20,83,2015,Solo
Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,2020-06-19,128,82,65,-4,32,42,227,21,4,82,2015,Solo
How Deep Is Your Love,Calvin Harris,dance pop,2015,2020-06-19,122,87,74,-4,39,34,213,4,7,80,2015,Solo
Ayo,Chris Brown,dance pop,2015,2020-06-19,98,56,82,-5,9,68,225,4,4,76,2015,Solo
Cool for the Summer,Demi Lovato,dance pop,2015,2020-06-19,114,61,58,-6,14,34,215,0,4,78,2015,Solo
Confident,Demi Lovato,dance pop,2015,2020-06-19,130,75,59,-6,9,34,206,0,7,69,2015,Solo
Five More Hours,Deorro,dance pop,2017,2020-06-19,128,88,70,-3,82,50,212,3,22,74,2015,Solo
Omen - Radio Edit,Disclosure,edm,2015,2020-06-19,106,79,67,-5,36,62,197,12,14,68,2015,Duo
You Know You Like It,DJ Snake,dance pop,2014,2020-06-19,196,73,41,-5,31,25,247,1,19,74,2015,Solo
Hotline Bling,Drake,canadian hip hop,2016,2020-06-19,135,63,89,-8,5,55,267,0,6,82,2015,Solo
Jumpman,Drake,canadian hip hop,2015,2020-06-19,142,55,85,-7,33,66,206,6,19,76,2015,Solo
