title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,2020-06-08,114,76,69,-5,15,74,224,10,9,77,2016,Solo
The Greatest (feat. Kendrick Lamar),Sia,australian dance,2016,2020-06-08,192,73,67,-6,6,73,210,1,27,73,2016,Solo
Cheap Thrills (feat. Sean Paul),Sia,australian dance,2016,2020-06-08,90,80,59,-5,8,73,225,6,22,73,2016,Solo
Sweet Lovin' - Radio Edit,Sigala,dance pop,2018,2020-06-08,125,85,68,-3,34,71,202,21,7,69,2016,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020-06-08,95,52,68,-6,11,18,230,12,14,77,2016,Duo
Just Hold On,Steve Aoki,dance pop,2018,2020-06-08,115,93,65,-4,6,39,199,0,8,61,2016,Solo
Somebody Else,The 1975,modern alternative rock,2016,2020-06-08,101,79,61,-6,15,47,348,20,6,76,2016,Band/Group
The Sound,The 1975,modern alternative rock,2016,2021-08-09,121,94,65,-5,45,55,249,9,8,63,2016,Band/Group
Closer,The Chainsmokers,dance pop,2016,2020-06-08,95,52,75,-6,11,66,245,41,3,88,2016,Duo
Don't Let Me Down,The Chainsmokers,dance pop,2016,2020-06-08,160,87,53,-5,14,42,208,16,17,83,2016,Duo
Roses,The Chainsmokers,dance pop,2015,2020-06-08,100,80,71,-7,31,34,227,4,6,78,2016,Duo
Ophelia,The Lumineers,folk-pop,2016,2020-06-08,76,57,66,-7,9,57,160,61,3,79,2016,Band/Group
Starboy,The Weeknd,canadian contemporary r&b,2016,2020-06-08,186,59,68,-7,14,49,230,14,28,88,2016,Solo
Once In a While,Timeflies,dance pop,2016,2020-06-25,105,69,79,-6,62,35,215,1,14,65,2016,Duo
Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,2016,2020-06-08,120,80,92,-3,8,54,196,37,5,67,2016,Solo
Cool Girl,Tove Lo,art pop,2016,2020-06-08,102,69,67,-7,8,20,199,31,11,69,2016,Solo
Renegades,X Ambassadors,modern alternative rock,2015,2021-05-06,90,86,53,-6,23,53,195,1,9,80,2016,Band/Group
Unsteady,X Ambassadors,modern alternative rock,2015,2020-06-08,117,67,39,-6,12,20,194,18,6,78,2016,Band/Group
Never Forget You,Zara Larsson,dance pop,2017,2020-06-08,146,73,58,-6,27,28,213,0,5,78,2016,Solo
PILLOWTALK,ZAYN,dance pop,2016,2020-06-08,125,70,58,-4,9,44,203,12,5,82,2016,Solo
