title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Youngblood,5 Seconds of Summer,boy band,2018,2020-06-22,120,85,60,-5,12,15,203,2,46,74,2018,Band/Group
FEFE,6ix9ine,emo rap,2018,2020-06-22,126,39,93,-9,14,38,179,9,41,75,2018,Solo
GUMMO,6ix9ine,emo rap,2018,2020-06-22,157,78,66,-5,13,64,158,6,17,67,2018,Solo
God is a woman,Ariana Grande,dance pop,2018,2020-06-22,145,66,60,-6,24,27,198,2,6,83,2018,Solo
no tears left to cry,Ariana Grande,dance pop,2018,2020-06-22,122,71,70,-6,29,35,206,4,6,82,2018,Solo
Jumanji,B Young,afroswing,2018,2020-06-22,96,47,79,-10,10,60,173,28,25,65,2018,Solo
Answerphone (feat. Yxng Bane),Banx & Ranx,basshall,2018,2020-06-22,113,83,67,-4,45,45,191,4,9,60,2018,Duo
Mine,Bazzi,dance pop,2018,2020-06-22,143,79,71,-4,45,72,131,2,7,80,2018,Solo
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,2020-06-22,89,68,56,-8,12,32,174,56,32,80,2018,Solo
lovely (with Khalid),Billie Eilish,art pop,2018,2020-06-22,115,30,35,-10,10,12,200,93,3,91,2018,Solo
Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,2018,2020-06-22,140,58,92,-7,11,60,181,0,27,78,2018,Solo
Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,2017,2020-06-22,105,86,70,-5,2,93,217,2,10,78,2018,Solo
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,2020-06-22,124,86,79,-3,8,59,215,4,11,86,2018,Solo
Never Be the Same,Camila Cabello,dance pop,2018,2020-06-22,130,71,64,-4,14,24,227,18,7,79,2018,Solo
I Like It,Cardi B,dance pop,2018,2020-06-22,136,73,82,-4,37,65,253,10,13,83,2018,Solo
Bodak Yellow,Cardi B,dance pop,2018,2020-06-22,125,70,93,-6,23,49,224,7,10,77,2018,Solo
Be Careful,Cardi B,dance pop,2018,2020-06-22,152,57,82,-8,10,54,211,3,41,72,2018,Solo
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,dance pop,2018,2021-06-15,100,64,75,-5,11,45,186,25,9,61,2018,Solo
How Long,Charlie Puth,dance pop,2018,2020-06-22,110,56,85,-5,4,81,201,21,8,77,2018,Solo
Done for Me (feat. Kehlani),Charlie Puth,dance pop,2018,2021-08-17,112,63,86,-4,7,70,180,19,7,72,2018,Solo
