title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
I Need Your Love (feat. Ellie Goulding),Calvin Harris,dance pop,2012,2020-06-11,125,87,70,-5,24,58,235,41,5,75,2013,Solo
Thinking About You (feat. Ayah Marar),Calvin Harris,dance pop,2012,2020-06-11,128,87,73,-4,10,75,248,0,4,71,2013,Solo
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,dance pop,2012,2020-06-11,128,89,67,-4,5,53,240,5,5,67,2013,Solo
Safe And Sound,Capital Cities,metropopolis,2013,2020-06-11,118,82,66,-5,10,77,193,0,3,87,2013,Duo
3005,Childish Gambino,atl hip hop,2013,2020-06-11,166,45,47,-7,9,64,234,11,33,83,2013,Solo
Fine China,Chris Brown,dance pop,2014,2020-06-11,104,73,65,-5,12,59,213,4,6,66,2013,Solo
The Mother We Share,CHVRCHES,electropop,2013,2020-06-11,174,69,46,-6,13,34,191,3,3,61,2013,Band/Group
Body Party,Ciara,dance pop,2013,2020-06-11,134,58,58,-6,60,12,234,1,6,70,2013,Solo
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,2020-06-11,116,81,79,-9,10,86,248,4,4,88,2013,Duo
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,electro,2013,2020-06-11,100,66,83,-8,8,67,354,8,6,74,2013,Duo
Play Hard (feat. Ne-Yo & Akon),David Guetta,big room,2011,2020-06-11,130,92,69,-2,33,80,201,17,5,65,2013,Solo
Heart Attack,Demi Lovato,dance pop,2013,2020-06-11,174,79,50,-5,24,50,211,7,10,85,2013,Solo
White Noise,Disclosure,edm,2013,2020-06-11,120,85,68,-6,35,87,278,1,5,54,2013,Duo
"Hold On, We're Going Home",Drake,canadian hip hop,2013,2020-06-11,100,41,78,-7,7,29,228,0,9,76,2013,Solo
Started From the Bottom,Drake,canadian hip hop,2013,2020-06-11,86,52,79,-8,16,58,174,3,16,71,2013,Solo
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,destroy techno,2013,2020-06-11,124,85,67,-5,39,46,174,0,5,65,2013,Solo
The Monster,Eminem,detroit hip hop,2013,2020-06-11,110,85,78,-4,12,62,250,5,7,81,2013,Solo
Berzerk,Eminem,detroit hip hop,2013,2020-06-11,95,87,74,-4,26,68,239,2,33,72,2013,Solo
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,emo,2013,2020-06-11,152,92,56,-4,54,57,187,3,6,77,2013,Band/Group
I Cry,Flo Rida,dance pop,2012,2020-06-11,126,82,69,-5,32,76,224,1,4,69,2013,Solo
