title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Payphone,Maroon 5,pop,2012,2020-06-22,110,76,74,-5,37,52,231,1,4,69,2012,Band/Group
Adorn,Miguel,dance pop,2012,2020-06-22,179,58,63,-6,19,24,193,5,18,72,2012,Solo
Madness,Muse,modern rock,2012,2020-06-22,180,42,50,-8,11,22,281,13,7,72,2012,Band/Group
Everybody Talks,Neon Trees,modern alternative rock,2012,2020-06-22,155,92,47,-4,31,73,177,0,6,85,2012,Band/Group
Starships,Nicki Minaj,dance pop,2011,2020-06-22,125,72,75,-2,25,75,211,14,8,78,2012,Solo
Pound The Alarm,Nicki Minaj,dance pop,2012,2020-06-22,125,86,73,-4,2,59,206,4,6,69,2012,Solo
Dirty Paws,Of Monsters and Men,folk-pop,2012,2021-08-09,112,65,36,-7,6,13,278,11,3,74,2012,Band/Group
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2012,2020-06-22,106,86,76,-4,13,97,186,2,6,80,2012,Solo
What Makes You Beautiful,One Direction,boy band,2012,2020-06-22,125,79,73,-2,6,89,200,1,7,88,2012,Band/Group
Live While We're Young,One Direction,boy band,2012,2020-06-22,126,86,66,-2,14,93,200,5,5,79,2012,Band/Group
Million Voices - Radio Edit,Otto Knows,edm,2012,2020-06-22,126,89,58,-6,7,7,193,0,4,75,2012,Solo
Good Time,Owl City,indietronica,2012,2020-06-22,126,87,56,-4,37,68,206,2,14,82,2012,Band/Group
Blow Me (One Last Kiss),P!nk,dance pop,2012,2020-06-22,114,92,60,-3,28,73,256,0,4,71,2012,Solo
Take a Walk,Passion Pit,alternative dance,2012,2020-06-22,101,76,57,-6,32,45,264,3,4,74,2012,Band/Group
"Gone, Gone, Gone",Phillip Phillips,folk-pop,2013,2020-06-22,118,64,66,-6,11,50,210,13,4,76,2012,Solo
Home,Phillip Phillips,folk-pop,2013,2021-08-09,121,83,61,-6,12,32,210,3,3,73,2012,Solo
Gangnam Style (강남스타일),PSY,k-pop,2012,2020-06-22,132,94,73,-3,9,75,219,0,29,77,2012,Solo
We Found Love,Rihanna,barbadian pop,2011,2020-06-22,128,77,74,-4,11,60,215,3,4,80,2012,Solo
Where Have You Been,Rihanna,barbadian pop,2011,2020-06-22,128,85,72,-6,22,44,243,0,9,76,2012,Solo
R.I.P. (feat. Tinie Tempah),Rita Ora,dance pop,2012,2020-06-22,72,83,61,-3,65,35,228,3,5,52,2012,Solo
