title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,hip hop,2018,2020-06-22,174,83,71,-5,12,58,332,2,15,71,2018,Duo
Plug Walk,Rich The Kid,atl hip hop,2018,2020-06-22,95,52,88,-7,11,16,175,20,14,77,2018,Solo
Mo Bamba,Sheck Wes,rap,2018,2020-08-11,146,63,73,-5,25,26,184,19,3,81,2018,Solo
Strangers,Sigrid,dance pop,2019,2020-06-22,115,72,76,-6,8,13,234,1,4,64,2018,Solo
Delicate,Taylor Swift,pop,2017,2020-06-22,95,40,75,-10,9,5,232,22,7,81,2018,Solo
It's Not Living (If It's Not With You),The 1975,modern alternative rock,2018,2021-06-15,121,84,62,-5,6,53,248,0,3,75,2018,Band/Group
This Feeling,The Chainsmokers,dance pop,2018,2022-01-24,105,57,57,-8,9,45,198,6,4,78,2018,Duo
Sick Boy,The Chainsmokers,dance pop,2018,2022-01-24,90,58,66,-8,12,45,193,11,5,74,2018,Duo
Call Out My Name,The Weeknd,canadian contemporary r&b,2018,2020-06-22,134,59,46,-5,31,18,228,17,4,85,2018,Solo
Pray For Me (with Kendrick Lamar),The Weeknd,canadian contemporary r&b,2018,2020-06-22,101,68,74,-5,11,19,211,8,9,74,2018,Solo
Jackie Chan,Tiësto,big room,2018,2020-06-22,128,83,75,-3,6,69,216,37,5,76,2018,Solo
SICKO MODE,Travis Scott,hip hop,2018,2020-06-22,155,73,83,-4,12,45,313,1,22,86,2018,Solo
Taste (feat. Offset),Tyga,dance pop,2018,2020-06-22,98,56,88,-7,10,34,233,2,12,78,2018,Solo
Saturday Sun,Vance Joy,folk-pop,2018,2021-06-15,100,86,64,-4,22,71,215,48,5,75,2018,Solo
SAD!,XXXTENTACION,emo rap,2018,2020-06-22,75,61,74,-5,12,47,167,26,14,88,2018,Solo
Moonlight,XXXTENTACION,emo rap,2018,2020-06-22,128,54,92,-6,10,71,135,56,8,87,2018,Solo
changes,XXXTENTACION,emo rap,2018,2020-06-22,65,31,67,-10,10,52,122,88,3,84,2018,Solo
If You're Over Me,Years & Years,dance pop,2018,2020-06-22,104,85,65,-5,6,62,189,6,9,60,2018,Band/Group
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,cali rap,2018,2020-06-22,204,35,75,-8,9,11,237,1,33,73,2018,Solo
The Middle,Zedd,complextro,2018,2020-06-22,107,66,75,-3,11,44,185,17,4,84,2018,Solo
