title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Back To Sleep,Chris Brown,dance pop,2015,2020-06-08,93,65,65,-5,9,72,201,4,24,65,2016,Solo
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,2016,2020-06-08,130,77,61,-4,16,30,226,4,4,65,2016,Band/Group
Hymn for the Weekend,Coldplay,permanent wave,2015,2020-06-08,90,69,49,-6,33,41,258,21,4,86,2016,Band/Group
Adventure of a Lifetime,Coldplay,permanent wave,2015,2020-06-08,112,92,64,-4,15,53,264,0,4,79,2016,Band/Group
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,2016,2020-06-08,110,92,37,-3,9,37,207,0,5,72,2016,Solo
"Sit Still, Look Pretty",Daya,alt z,2016,2020-06-08,182,74,66,-4,11,54,202,14,27,76,2016,Solo
Hide Away,Daya,alt z,2016,2020-06-08,95,80,89,-5,7,46,192,23,8,72,2016,Solo
Let Me Love You,DJ Snake,dance pop,2016,2020-06-08,100,72,65,-5,14,16,206,9,3,86,2016,Solo
Middle,DJ Snake,dance pop,2016,2020-06-25,105,70,58,-5,5,22,221,1,4,79,2016,Solo
Cake By The Ocean,DNCE,dance pop,2016,2020-06-08,119,75,77,-5,4,90,219,15,5,84,2016,Band/Group
Too Good,Drake,canadian hip hop,2016,2020-06-08,118,65,79,-8,10,40,263,5,10,78,2016,Solo
Hotter Than Hell,Dua Lipa,dance pop,2017,2020-06-08,110,87,53,-4,6,53,188,1,9,70,2016,Solo
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,2016,2020-06-08,91,91,72,-3,14,87,200,9,10,72,2016,Solo
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,2020-06-08,105,59,80,-6,6,59,214,10,4,81,2016,Band/Group
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,2020-06-08,95,79,69,-5,5,76,211,2,5,67,2016,Band/Group
My House,Flo Rida,dance pop,2015,2020-06-08,94,70,69,-5,13,74,192,2,5,81,2016,Solo
Say It (feat. Tove Lo),Flume,australian dance,2016,2020-06-29,75,53,60,-7,6,26,263,7,3,64,2016,Solo
Pink + White,Frank Ocean,alternative r&b,2016,2020-06-08,160,55,54,-7,42,55,185,67,10,84,2016,Solo
Low Life (feat. The Weeknd),Future,atl hip hop,2016,2020-06-08,144,33,72,-8,15,10,314,34,7,78,2016,Solo
No Money,Galantis,dance pop,2016,2020-06-08,126,92,67,-4,24,80,189,3,4,72,2016,Duo
