title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Cruise,Florida Georgia Line,contemporary country,2012,2020-06-11,148,95,46,-3,5,88,209,2,4,63,2013,Duo
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020-06-11,126,91,71,-3,15,82,157,1,3,74,2013,Duo
Demons,Imagine Dragons,modern rock,2012,2020-06-11,90,71,51,-3,33,43,175,19,3,78,2013,Band/Group
Radioactive,Imagine Dragons,modern rock,2012,2020-06-11,136,78,45,-4,67,24,187,11,6,77,2013,Band/Group
Power Trip (feat. Miguel),J. Cole,conscious hip hop,2013,2020-06-11,100,61,67,-7,43,48,241,32,22,81,2013,Solo
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,2020-06-11,100,65,76,-7,31,76,178,3,23,71,2013,Solo
The Other Side,Jason Derulo,dance pop,2013,2020-06-11,128,84,56,-4,14,52,227,5,10,66,2013,Solo
Holy Grail,JAY-Z,east coast hip hop,2013,2020-06-11,145,53,68,-7,26,16,338,6,8,68,2013,Solo
Love Me Again,John Newman,dance pop,2013,2020-06-11,126,89,50,-5,10,21,240,0,4,69,2013,Solo
Beauty And A Beat,Justin Bieber,canadian pop,2012,2020-06-11,128,84,60,-5,7,53,228,0,6,78,2013,Solo
Mirrors,Justin Timberlake,dance pop,2013,2020-06-11,77,51,57,-7,9,51,484,23,5,83,2013,Solo
Suit & Tie (feat. Jay-Z),Justin Timberlake,dance pop,2013,2020-06-11,102,60,80,-4,16,36,326,10,22,72,2013,Solo
Black Skinhead,Kanye West,chicago rap,2013,2020-06-11,130,81,77,-6,17,33,188,0,28,80,2013,Solo
This Is How We Do,Katy Perry,dance pop,2013,2020-06-11,96,64,69,-6,15,80,204,2,5,66,2013,Solo
Sonnentanz - Sun Don't Shine,Klangkarussell,austrian pop,2013,2020-06-11,120,54,59,-8,11,17,236,11,9,56,2013,Duo
All I Want,Kodaline,irish pop,2013,2020-06-11,187,41,19,-10,8,16,306,17,5,86,2013,Band/Group
High Hopes,Kodaline,irish pop,2013,2020-06-11,77,49,49,-6,19,22,230,58,3,73,2013,Band/Group
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,2020-06-11,126,81,57,-6,13,11,215,2,6,78,2013,Solo
Love Me,Lil Wayne,hip hop,2013,2020-06-11,125,63,67,-6,9,50,255,1,3,73,2013,Solo
Somewhere Only We Know,Lily Allen,dance pop,2014,2020-06-11,81,29,31,-11,10,29,209,93,3,56,2013,Solo
