title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,2016,2020-06-08,93,28,49,-13,10,18,251,69,30,82,2016,Solo
"Me, Myself & I",G-Eazy,indie pop rap,2015,2020-06-08,112,67,76,-7,16,39,251,2,10,82,2016,Solo
Starving,Hailee Steinfeld,dance pop,2016,2020-06-08,100,62,73,-4,11,51,182,38,6,81,2016,Solo
Can I Be Him,James Arthur,pop,2016,2020-06-08,108,54,70,-6,9,48,247,31,5,80,2016,Solo
When You Love Someone,James TW,neo mellow,2019,2020-06-08,126,45,68,-6,5,35,217,26,3,79,2016,Solo
Love Me Now,John Legend,neo soul,2016,2020-06-08,123,77,42,-4,11,72,210,57,9,59,2016,Solo
Perfect Strangers,Jonas Blue,dance pop,2018,2020-06-08,118,86,73,-4,21,70,197,39,5,80,2016,Solo
Fast Car,Jonas Blue,dance pop,2018,2020-06-08,114,58,67,-7,31,55,212,47,6,77,2016,Solo
Love Yourself,Justin Bieber,canadian pop,2015,2020-06-08,100,38,61,-10,28,52,234,84,44,87,2016,Solo
Sorry,Justin Bieber,canadian pop,2015,2020-06-08,100,76,65,-4,30,41,201,8,5,85,2016,Solo
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2020-06-08,113,83,67,-6,10,70,238,1,7,77,2016,Solo
Gold,Kiiara,alt z,2020,2020-06-08,113,41,60,-9,13,41,226,62,34,64,2016,Solo
Stole the Show,Kygo,edm,2016,2020-06-08,100,64,64,-8,32,48,223,27,23,78,2016,Solo
Stay (feat. Maty Noyes),Kygo,edm,2015,2020-06-08,103,74,65,-8,17,38,239,4,4,65,2016,Solo
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,2020-06-08,169,79,50,-4,65,74,243,26,32,80,2016,Solo
Shout Out to My Ex,Little Mix,dance pop,2016,2020-06-08,126,75,77,-4,11,80,246,2,9,81,2016,Band/Group
7 Years,Lukas Graham,danish pop,2016,2020-06-08,120,47,77,-6,39,34,237,29,5,83,2016,Band/Group
Alaska,Maggie Rogers,indie pop,2019,2021-08-09,104,39,85,-11,11,18,188,41,5,70,2016,Solo
Cold Water,Major Lazer,dance pop,2016,2020-06-08,93,80,61,-5,16,50,185,7,4,72,2016,Trio
You & Me,Marc E. Bassy,pop,2017,2020-06-08,84,64,45,-8,19,61,218,4,28,69,2016,Solo
