title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Just A Kiss,Lady A,contemporary country,2011,2020-06-16,143,64,59,-6,10,33,219,45,3,69,2011,Band/Group
Born This Way,Lady Gaga,art pop,2011,2020-06-16,124,83,59,-5,33,49,260,0,16,73,2011,Solo
The Edge Of Glory,Lady Gaga,art pop,2011,2020-06-16,128,77,58,-7,11,36,321,0,4,68,2011,Solo
6 Foot 7 Foot,Lil Wayne,hip hop,2011,2020-06-16,79,75,37,-5,32,60,249,0,30,77,2011,Solo
How To Love,Lil Wayne,hip hop,2011,2020-06-16,154,66,64,-6,11,27,240,0,4,72,2011,Solo
Party Rock Anthem,LMFAO,dance pop,2011,2020-06-16,130,73,75,-4,27,36,262,2,14,74,2011,Duo
Sexy And I Know It,LMFAO,dance pop,2011,2020-06-16,130,86,71,-4,19,80,199,10,32,68,2011,Duo
The Show Goes On,Lupe Fiasco,chicago rap,2011,2020-06-16,143,89,59,-4,16,65,240,2,12,76,2011,Solo
I Follow Rivers - The Magician Remix,Lykke Li,art pop,2021,2020-06-25,122,70,79,-6,8,30,280,2,4,67,2011,Solo
Midnight City,M83,french shoegaze,2011,2020-06-16,105,71,53,-7,18,32,241,2,4,76,2011,Duo
Donald Trump,Mac Miller,hip hop,2011,2020-06-16,163,90,64,-7,39,84,166,12,12,67,2011,Solo
Buzzin Remix,Mann,pop rap,2011,2020-06-16,104,94,69,-4,28,54,224,9,15,53,2011,Solo
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,2010,2020-06-16,128,76,72,-4,31,62,201,1,5,75,2011,Band/Group
Sure Thing,Miguel,dance pop,2010,2020-06-16,81,61,68,-8,19,50,195,3,10,84,2011,Solo
When We Stand Together,Nickelback,alternative metal,2011,2020-06-16,188,90,45,-4,4,88,191,0,5,71,2011,Band/Group
Super Bass,Nicki Minaj,dance pop,2010,2020-06-16,127,86,72,-4,60,67,200,27,20,83,2011,Solo
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,indie folk,2011,2020-06-16,82,75,60,-6,35,61,228,21,4,63,2011,Band/Group
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,dance pop,2011,2020-06-16,111,88,84,-4,8,88,202,14,6,66,2011,Solo
Good Life,OneRepublic,dance pop,2009,2020-06-16,95,69,63,-8,13,65,253,8,5,78,2011,Band/Group
Raise Your Glass,P!nk,dance pop,2010,2020-06-16,122,71,70,-5,3,62,203,0,8,81,2011,Solo
