title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
She Said,Plan B,grime,2010,2022-02-17,147,54,72,-6,16,83,211,30,14,39,2010,Duo
Only Girl (In The World),Rihanna,barbadian pop,2010,2022-02-17,126,71,79,-4,6,64,235,11,4,82,2010,Solo
Rude Boy,Rihanna,barbadian pop,2009,2022-02-17,174,75,56,-4,8,81,223,11,13,80,2010,Solo
What's My Name?,Rihanna,barbadian pop,2010,2022-02-17,100,78,69,-3,8,56,263,18,7,75,2010,Solo
Man Down,Rihanna,barbadian pop,2010,2022-02-17,156,91,48,-4,5,54,267,4,19,65,2010,Solo
Hard,Rihanna,barbadian pop,2009,2022-02-17,182,75,31,-4,65,16,251,1,11,60,2010,Solo
Dancing On My Own - Radio Edit,Robyn,art pop,2010,2022-02-17,117,93,57,-6,13,22,278,0,3,65,2010,Solo
King of Anything,Sara Bareilles,acoustic pop,2010,2022-02-17,119,76,68,-4,6,81,207,46,4,66,2010,Solo
This Ain't a Love Song,Scouting For Girls,dance pop,2017,2022-02-17,177,91,46,-4,38,55,211,0,5,58,2010,Band/Group
Eenie Meenie,Sean Kingston,dance pop,2020,2022-02-17,121,64,73,-3,10,84,202,3,3,72,2010,Solo
Riverside,Sidney Samson,dutch house,2009,2022-02-17,126,98,80,-2,13,29,321,0,5,42,2010,Solo
Alors on danse - Radio Edit,Stromae,belgian pop,2010,2022-02-17,120,59,79,-9,7,71,206,10,8,83,2010,Solo
Stuck Like Glue,Sugarland,contemporary country,2010,2022-02-17,84,80,70,-5,5,84,248,33,6,73,2010,Duo
One - Radio Edit,Swedish House Mafia,dance pop,2010,2022-02-17,125,78,80,-7,15,62,170,1,4,62,2010,Band/Group
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,dance pop,2010,2022-02-17,125,93,74,-6,40,66,206,0,7,52,2010,Band/Group
Dynamite,Taio Cruz,dance pop,2010,2022-02-17,120,78,75,-4,4,82,203,0,9,85,2010,Solo
Break Your Heart,Taio Cruz,dance pop,2010,2022-02-17,122,93,61,-4,9,57,202,3,3,79,2010,Solo
The Flood,Take That,boy band,2010,2022-02-17,101,83,51,-6,12,14,289,4,4,63,2010,Band/Group
Back To December,Taylor Swift,pop,2010,2022-02-17,142,67,53,-5,33,29,293,12,3,71,2010,Solo
Mine,Taylor Swift,pop,2010,2022-02-17,121,76,62,-3,19,66,231,0,3,70,2010,Solo
