title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Mama Do The Hump,Rizzle Kicks,uk hip hop,2011,2020-06-22,98,89,72,-4,7,56,216,1,13,61,2012,Duo
Candy,Robbie Williams,dance pop,2012,2020-06-22,116,79,72,-7,7,88,201,4,4,73,2012,Solo
Feel the Love (feat. John Newman),Rudimental,dance pop,2013,2020-06-22,180,71,39,-7,69,24,245,0,6,52,2012,Band/Group
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,gangster rap,2012,2020-06-22,128,78,65,-7,7,18,197,2,11,67,2012,Solo
Bangarang (feat. Sirah),Skrillex,brostep,2011,2020-06-29,110,97,72,-2,32,58,215,1,20,75,2012,Solo
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,g funk,2011,2020-06-22,95,66,72,-6,12,53,207,5,14,82,2012,Solo
Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,2012,2020-06-22,129,84,61,-3,12,44,213,11,5,81,2012,Band/Group
I Knew You Were Trouble.,Taylor Swift,pop,2012,2020-06-22,77,47,62,-7,3,68,220,0,4,82,2012,Solo
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,2020-06-22,86,68,63,-6,12,75,193,1,9,80,2012,Solo
Ho Hey,The Lumineers,folk-pop,2012,2020-06-22,80,47,69,-9,9,35,163,79,3,77,2012,Band/Group
Chasing The Sun,The Wanted,boy band,2012,2020-06-22,128,73,64,-6,50,68,199,24,10,74,2012,Band/Group
Angels,The xx,downtempo,2012,2020-06-22,92,16,42,-18,10,34,172,95,4,68,2012,Band/Group
Drive By,Train,dance pop,2012,2020-06-22,122,84,77,-3,8,72,196,0,3,82,2012,Band/Group
50 Ways to Say Goodbye,Train,dance pop,2012,2020-06-22,140,94,59,-3,14,74,248,0,5,73,2012,Band/Group
Heart Attack,Trey Songz,dance pop,2012,2020-06-22,150,86,61,-5,23,48,233,6,13,61,2012,Solo
Rack City,Tyga,dance pop,2012,2020-06-22,99,34,93,-11,19,27,203,4,37,67,2012,Solo
Faded,Tyga,dance pop,2012,2020-06-22,95,67,83,-8,35,34,207,1,19,63,2012,Solo
Climax,Usher,atl hip hop,2012,2020-06-22,136,48,65,-9,16,33,233,55,8,65,2012,Solo
Anna Sun,WALK THE MOON,dance pop,2012,2021-08-09,140,84,47,-7,24,34,321,0,5,68,2012,Band/Group
"Work Hard, Play Hard",Wiz Khalifa,dance pop,2012,2020-06-22,140,67,79,-4,30,49,219,4,5,67,2012,Solo
