title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Yeah 3x,Chris Brown,dance pop,2011,2020-06-16,130,88,71,-3,9,70,242,0,4,74,2011,Solo
Beautiful People,Chris Brown,dance pop,2019,2020-06-16,128,78,42,-6,8,54,226,7,16,59,2011,Solo
Jar of Hearts,Christina Perri,dance pop,2011,2020-06-16,75,35,35,-6,12,9,247,73,3,77,2011,Solo
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,2011,2020-06-16,132,86,67,-3,4,75,216,2,5,75,2011,Band/Group
Paradise,Coldplay,permanent wave,2011,2020-06-16,140,59,45,-7,8,21,279,5,3,88,2011,Band/Group
Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,2020-06-16,118,73,43,-7,17,33,241,0,4,75,2011,Band/Group
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,2011,2020-06-16,130,87,66,-3,23,56,210,3,4,69,2011,Solo
Who's That Chick? (feat. Rihanna),David Guetta,big room,2010,2020-06-16,128,60,68,-5,5,93,201,0,12,66,2011,Solo
Coming Home,Diddy - Dirty Money,hip pop,2010,2020-06-16,168,84,39,-2,30,23,239,16,19,74,2011,Duo
Louder,DJ Fresh,dancefloor dnb,2012,2020-06-16,140,93,39,-1,35,48,207,2,5,40,2011,Solo
I'm On One,DJ Khaled,dance pop,2011,2020-06-16,149,81,41,-3,63,44,296,5,32,75,2011,Solo
I Need A Doctor,Dr. Dre,g funk,2011,2020-06-16,156,95,59,-5,31,40,284,9,45,77,2011,Solo
Headlines,Drake,canadian hip hop,2011,2020-06-16,152,57,64,-7,9,43,236,37,11,80,2011,Solo
The A Team,Ed Sheeran,pop,2011,2020-06-16,85,29,64,-10,18,41,258,67,4,80,2011,Solo
Lego House,Ed Sheeran,pop,2011,2020-06-16,160,64,59,-8,13,56,185,56,10,77,2011,Solo
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,2020-06-16,127,78,80,-4,8,59,185,3,3,71,2011,Solo
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2010,2020-06-16,126,88,67,-5,14,27,232,3,4,65,2011,Solo
Springsteen,Eric Church,contemporary country,2011,2020-06-16,104,81,69,-6,19,93,263,10,3,77,2011,Solo
Changed the Way You Kiss Me - Radio Edit,Example,dance pop,2011,2020-06-16,127,86,58,-4,9,19,195,1,4,69,2011,Solo
Rocketeer,Far East Movement,asian american hip hop,2010,2020-06-16,96,85,66,-6,27,36,211,18,5,73,2011,Band/Group
