title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Rolling in the Deep,Adele,british soul,2011,2020-06-16,105,77,73,-5,5,51,228,14,3,84,2011,Solo
Set Fire to the Rain,Adele,british soul,2011,2020-06-16,108,67,60,-4,11,45,243,0,2,81,2011,Solo
Mr. Saxobeat,Alexandra Stan,dance pop,2011,2020-06-16,127,93,72,-4,14,78,195,3,5,69,2011,Solo
What the Hell,Avril Lavigne,canadian pop,2011,2020-06-16,150,93,58,-4,14,88,221,0,5,80,2011,Solo
Lighters,Bad Meets Evil,detroit hip hop,2011,2020-06-16,90,70,68,-8,12,14,304,35,25,74,2011,Duo
Love On Top,Beyoncé,dance pop,2011,2020-06-16,94,75,65,-5,60,65,267,8,9,79,2011,Solo
Best Thing I Never Had,Beyoncé,dance pop,2011,2020-06-16,99,65,55,-4,9,30,254,14,3,74,2011,Solo
Skinny Love,Birdy,pop,2011,2020-06-16,166,29,38,-8,12,17,201,95,5,77,2011,Solo
Just Can’t Get Enough,Black Eyed Peas,dance pop,2010,2020-06-16,94,63,66,-9,11,26,219,19,18,81,2011,Band/Group
Honey Bee,Blake Shelton,contemporary country,2011,2020-06-16,206,85,48,-5,12,72,211,0,4,69,2011,Solo
Holocene,Bon Iver,eau claire indie,2011,2020-06-16,148,30,37,-15,13,15,337,94,3,70,2011,Band/Group
I Wanna Go,Britney Spears,dance pop,2011,2020-06-16,130,55,70,-7,33,79,210,0,4,71,2011,Solo
Till the World Ends,Britney Spears,dance pop,2011,2020-06-16,132,71,69,-6,20,45,238,2,7,71,2011,Solo
Grenade,Bruno Mars,dance pop,2010,2020-06-16,110,56,70,-7,11,25,222,15,5,82,2011,Solo
Marry You,Bruno Mars,dance pop,2010,2020-06-16,145,82,62,-5,10,45,230,33,4,79,2011,Solo
The Lazy Song,Bruno Mars,dance pop,2010,2020-06-16,175,71,79,-5,10,96,189,30,7,77,2011,Solo
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,dance pop,2012,2020-06-16,128,96,78,-2,66,76,222,3,4,67,2011,Solo
Blind Faith,Chase & Status,dancefloor dnb,2011,2020-06-16,140,85,45,-5,23,40,234,1,5,66,2011,Duo
Champion (feat. Chris Brown),Chip,grime,2011,2020-06-16,190,93,42,-3,14,52,237,8,24,54,2011,Solo
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,dance pop,2011,2020-06-16,146,68,77,-6,14,54,223,3,18,77,2011,Solo
