title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
On Top Of The World,Imagine Dragons,modern rock,2012,2020-06-22,100,93,64,-6,9,76,190,9,15,72,2012,Band/Group
Ni**as In Paris,JAY-Z,east coast hip hop,2011,2020-06-22,140,86,79,-6,35,78,219,13,31,88,2012,Solo
Boyfriend,Justin Bieber,canadian pop,2012,2020-06-22,97,55,72,-6,13,33,171,4,5,68,2012,Solo
Mercy,Kanye West,chicago rap,2012,2020-06-22,140,50,56,-9,17,43,329,7,41,79,2012,Solo
Brokenhearted,Karmin,dance pop,2012,2020-06-22,120,77,77,-3,5,89,227,1,6,70,2012,Duo
The One That Got Away,Katy Perry,dance pop,2012,2020-06-22,134,79,69,-4,20,86,227,0,4,78,2012,Solo
Part Of Me,Katy Perry,dance pop,2012,2020-06-22,130,92,68,-5,7,77,216,0,4,78,2012,Solo
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,conscious hip hop,2012,2020-06-22,74,49,72,-8,60,26,314,12,40,76,2012,Solo
m.A.A.d city,Kendrick Lamar,conscious hip hop,2012,2020-06-22,91,73,49,-7,44,22,350,5,27,73,2012,Solo
Die Young,Kesha,dance pop,2012,2020-06-25,128,70,71,-5,22,80,212,0,5,83,2012,Solo
C'Mon,Kesha,dance pop,2012,2020-06-22,126,78,56,-5,10,29,214,1,10,67,2012,Solo
Ride,Lana Del Rey,art pop,2012,2020-06-22,94,69,37,-6,38,19,289,13,3,64,2012,Solo
Video Games,Lana Del Rey,art pop,2012,2020-06-22,122,25,39,-10,9,18,282,81,3,63,2012,Solo
Born To Die,Lana Del Rey,art pop,2012,2020-06-22,86,63,39,-7,20,40,286,20,4,62,2012,Solo
BURN IT DOWN,Linkin Park,alternative metal,2012,2020-06-22,110,97,59,-4,7,59,230,1,5,79,2012,Band/Group
Sexy And I Know It,LMFAO,dance pop,2011,2020-06-22,130,86,71,-4,19,80,199,10,32,68,2012,Duo
Battle Scars (with Guy Sebastian),Lupe Fiasco,chicago rap,2012,2020-06-22,168,81,52,-5,11,49,250,19,29,74,2012,Solo
Primadonna,MARINA,art pop,2012,2020-06-22,128,69,66,-3,9,43,221,9,3,84,2012,Solo
How to Be a Heartbreaker,MARINA,art pop,2012,2020-06-22,140,90,69,-5,11,85,221,1,5,77,2012,Solo
One More Night,Maroon 5,pop,2012,2020-06-22,93,82,72,-3,8,61,219,4,3,74,2012,Band/Group
