title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,2011,2020-06-16,129,94,67,-3,30,53,252,19,16,86,2011,Solo
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,dance pop,2011,2020-06-16,128,91,60,-3,26,76,234,4,9,76,2011,Solo
Read All About It,Professor Green,grime,2021,2020-06-16,101,75,66,-6,22,45,236,34,4,35,2011,Solo
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,alternative rock,2011,2020-06-16,106,73,68,-5,26,58,282,0,3,71,2011,Band/Group
S&M,Rihanna,barbadian pop,2010,2020-06-16,128,68,77,-5,9,84,244,1,4,82,2011,Solo
We Found Love,Rihanna,barbadian pop,2011,2020-06-16,128,77,74,-4,11,60,215,3,4,80,2011,Solo
What's My Name?,Rihanna,barbadian pop,2010,2020-06-16,100,78,69,-3,8,56,263,18,7,75,2011,Solo
Down With The Trumpets,Rizzle Kicks,uk hip hop,2011,2020-06-16,115,88,75,-5,24,79,187,9,8,65,2011,Duo
Loca People - Radio Edit,Sak Noel,electro house,2011,2020-06-16,128,81,93,-3,5,70,216,0,6,45,2011,Solo
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2011,2020-06-16,117,68,86,-4,7,92,188,8,5,85,2011,Band/Group
Who Says,Selena Gomez & The Scene,dance pop,2011,2020-06-16,101,93,68,-3,15,74,196,8,5,81,2011,Band/Group
Sweat - Remix,Snoop Dogg,g funk,2011,2020-06-16,130,73,81,-6,8,73,196,6,3,73,2011,Solo
Save The World,Swedish House Mafia,dance pop,2011,2020-06-16,127,67,51,-8,8,40,213,1,5,70,2011,Band/Group
Higher,Taio Cruz,dance pop,2011,2020-06-16,128,92,67,-5,13,70,188,0,8,51,2011,Solo
If I Die Young,The Band Perry,contemporary country,2010,2020-06-16,131,50,61,-7,28,36,223,35,3,74,2011,Band/Group
Glad You Came,The Wanted,boy band,2011,2020-06-16,127,85,72,-4,11,45,198,3,6,83,2011,Band/Group
More - RedOne Jimmy Joker Remix,Usher,atl hip hop,2010,2020-06-16,125,89,55,-3,35,79,220,0,5,72,2011,Solo
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,2020-06-16,131,60,76,-6,24,36,264,1,4,81,2011,Solo
Black and Yellow,Wiz Khalifa,dance pop,2011,2020-06-16,164,83,68,-5,27,54,218,6,7,80,2011,Solo
Roll Up,Wiz Khalifa,dance pop,2011,2020-06-16,125,81,52,-5,9,60,228,5,19,68,2011,Solo
