title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
Pack Up,Eliza Doolittle,lilith,2010,2022-02-17,133,81,67,-6,21,87,191,30,8,46,2010,Solo
Starry Eyed,Ellie Goulding,dance pop,2010,2022-02-17,150,81,50,-5,32,60,177,14,4,59,2010,Solo
Love The Way You Lie,Eminem,detroit hip hop,2010,2022-02-17,87,93,75,-5,52,64,263,24,23,87,2010,Solo
Not Afraid,Eminem,detroit hip hop,2010,2022-02-17,115,95,86,-1,21,67,248,53,26,85,2010,Solo
I Like It,Enrique Iglesias,dance pop,2010,2022-02-17,129,94,65,-3,7,70,232,2,8,71,2010,Solo
Kickstarts,Example,dance pop,2010,2022-02-17,126,84,61,-4,36,66,182,0,6,69,2010,Solo
Like A G6,Far East Movement,asian american hip hop,2010,2022-02-17,125,84,44,-8,12,78,217,1,45,75,2010,Band/Group
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,2022-02-17,128,87,62,-4,6,47,235,3,3,81,2010,Solo
Hot - Malibu Breeze Radio Edit,INNA,dance pop,2010,2022-02-17,128,71,81,-8,26,51,224,6,14,43,2010,Solo
Replay,Iyaz,dance pop,2009,2022-02-17,91,75,71,-6,17,20,182,17,7,78,2010,Solo
Whatcha Say,Jason Derulo,dance pop,2010,2022-02-17,144,71,62,-6,14,71,221,4,8,72,2010,Solo
Ridin' Solo,Jason Derulo,dance pop,2010,2022-02-17,89,83,44,-4,13,58,216,13,15,70,2010,Solo
In My Head,Jason Derulo,dance pop,2010,2022-02-17,110,75,76,-4,35,85,199,3,3,67,2010,Solo
Down,Jay Sean,dance pop,2009,2022-02-17,132,68,73,-4,8,73,213,1,3,83,2010,Solo
Do You Remember,Jay Sean,dance pop,2009,2022-02-17,126,67,85,-5,10,82,211,2,7,74,2010,Solo
Young Forever,JAY-Z,east coast hip hop,2009,2022-02-17,140,69,64,-3,21,10,254,42,7,71,2010,Solo
Heartbreak Warfare,John Mayer,neo mellow,2009,2022-02-17,97,55,62,-8,30,31,270,19,2,69,2010,Solo
Half of My Heart,John Mayer,neo mellow,2009,2022-02-17,115,59,68,-9,11,73,250,44,3,68,2010,Solo
Baby,Justin Bieber,canadian pop,2010,2022-02-17,65,86,73,-5,11,54,214,4,14,86,2010,Solo
California Gurls,Katy Perry,dance pop,2012,2022-02-17,125,75,79,-4,16,43,235,0,6,78,2010,Solo
